Roll Number; 0
Recipe Name; FP 4548_250 GSM
Start Time; 2018-03-08; 14:26:05
File Name; D:\Mahlo\TR\180308142605FP 4548_250 GSM0_FMI2.txt

10255.3; 14:26:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 250.633270; 250.412405; 249.878734; 250.018150; 249.942511; 249.805599; 249.556094; 249.601394; 249.990135; 249.999151; 249.971390; 249.671161; 248.949468; 248.229548; 247.792065; 247.611970; 247.236058; 247.408062; 247.726545; 248.529434; 249.367550; 249.806434; 249.807119; 249.903098; 249.558061; 248.916551; 249.025181; 249.603137; 250.387520; 251.054883; 251.498848; 251.797140; 251.722366; 251.326203; 251.014590; 250.857651; 251.224935; 251.472056; 251.174808; 251.278728; 251.869559; 252.112150; 252.260298; 251.930237; 251.511544; 251.347244; 251.075000; 250.743419; 250.875503; 250.791878; 250.386328; 249.605089; 249.069989; 248.722002; 248.257637; 247.996449; 247.648165; 247.097969; 246.944115; 246.833324; 246.729299; 246.742561; 246.863544; 246.056318; 244.878396; 244.081408; 243.679091; 243.329167; 242.827982; 242.449254; 242.338166; 242.279842; 241.633773; 240.618169; 239.715517; 239.149496; 239.208624; 238.322109; 237.492010; 237.366349; 237.282693; 236.948147; 236.478835; 236.492112; 236.560285; 236.288860; 236.260623; 236.861140; 237.276435; 237.694472; 237.808242; 237.240836; 237.851605; 238.859490; 239.227891; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10268.1; 14:27:00; (); (); (); (); (); (); (); (); 246.831313; 247.069672; 247.181565; 247.183129; 246.940866; 247.067928; 247.007519; 246.992886; 246.783286; 246.750072; 246.987894; 247.424752; 247.695088; 248.290390; 248.691872; 249.189213; 249.617592; 249.613971; 249.429852; 249.494404; 249.851093; 250.084013; 249.921426; 250.052869; 249.647662; 249.164835; 248.487979; 248.595446; 248.248056; 247.948542; 247.383758; 246.632889; 247.008875; 247.723982; 247.944757; 247.465804; 247.412026; 247.649148; 247.429326; 247.535408; 247.795060; 248.209909; 248.031497; 248.481005; 249.352068; 250.243098; 250.932097; 251.166612; 251.386434; 252.131879; 252.403677; 252.590656; 253.268480; 254.084140; 254.555553; 254.586816; 254.962057; 255.435348; 255.207747; 254.067183; 252.458274; 252.046347; 251.797885; 251.375109; 250.796646; 251.333654; 251.213253; 250.754923; 250.493377; 250.758559; 251.385957; 251.243293; 251.004130; 251.300842; 252.901852; 254.356593; 255.150020; 255.731612; 256.520271; 257.058114; 256.914735; 257.332593; 257.727087; 257.525504; 257.091165; 256.665707; 255.762070; 254.083276; 251.770556; 250.175089; 249.060452; 248.172536; 247.221395; 245.644405; 243.813336; 242.722601; 241.050854; 240.105540; 239.812315; 239.648044; 239.260420; 240.163997; 241.544276; 243.292913; 243.757859; 243.409723; 243.257582; 243.372202; 243.986145; 244.932652; 245.499954; 246.324390; 246.910781; 247.039407; 246.997088; 246.995494; 247.040719; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10270.3; 14:27:09; (); (); (); (); (); (); (); (); (); 247.313589; 247.837231; 247.967109; 248.067960; 248.070255; 247.901782; 247.780517; 247.351766; 247.135043; 247.358337; 247.276366; 247.192800; 247.285366; 248.126507; 248.740569; 248.812959; 248.508677; 248.494551; 248.583481; 249.039829; 249.469817; 249.858931; 250.348926; 250.669032; 250.957817; 250.956655; 250.389576; 250.028342; 249.715954; 249.641448; 249.527112; 249.814749; 249.642178; 249.321729; 249.085605; 248.719007; 248.616293; 248.837933; 248.843759; 248.363599; 248.642653; 249.578521; 250.465602; 251.320750; 251.841664; 252.810687; 253.728002; 254.696816; 254.934937; 254.992217; 255.229145; 255.069971; 254.629642; 254.180700; 254.263610; 253.812045; 252.915919; 251.830071; 251.290828; 250.680864; 249.453664; 248.545513; 248.685166; 249.572828; 250.521988; 251.070350; 251.555473; 251.884311; 252.180099; 251.999199; 251.495570; 251.330733; 251.929373; 252.158523; 252.795547; 253.839612; 254.419416; 253.959000; 253.094554; 251.820534; 251.060903; 251.036257; 251.206994; 251.349121; 251.745164; 252.718449; 253.395319; 253.250778; 252.231538; 250.700891; 249.536574; 248.783141; 248.473376; 248.707995; 249.315396; 249.347001; 248.837024; 248.459443; 248.000443; 247.732863; 247.274339; 247.103423; 247.309059; 248.427868; 249.074116; 249.385551; 249.294326; 249.049783; 248.649478; 248.350173; 248.273104; 248.366609; 248.379052; 248.523638; 248.383746; 248.355776; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10272.7; 14:27:17; (); (); (); (); (); (); (); (); (); 240.942255; 241.126597; 240.670696; 241.115347; 241.503179; 241.682753; 241.946831; 241.781309; 241.580531; 241.714135; 242.068917; 242.009684; 241.870150; 242.154822; 242.816463; 243.142590; 243.654639; 244.835153; 245.748505; 246.347860; 246.882170; 247.233748; 247.823685; 248.828813; 249.393746; 249.721453; 250.804335; 251.919836; 252.365500; 252.228647; 252.082288; 252.006739; 251.485378; 250.530928; 249.762133; 249.519363; 249.533743; 249.435827; 249.554828; 250.154257; 251.018316; 251.144737; 251.231372; 251.363426; 251.605123; 251.819611; 251.966804; 252.572626; 253.644139; 254.554838; 255.280077; 255.147159; 255.025715; 254.697591; 254.230380; 253.435820; 252.680510; 252.043068; 251.100391; 250.144780; 249.293715; 248.684168; 247.701690; 246.588483; 245.514646; 244.399801; 243.931547; 243.746728; 243.557334; 243.195504; 242.929280; 242.799819; 242.709696; 242.637441; 243.072033; 243.537650; 243.810594; 243.992880; 244.053975; 243.823320; 244.045466; 244.610623; 244.486451; 244.164079; 244.295374; 244.258046; 243.780911; 242.942721; 242.257178; 241.752967; 241.480798; 240.788549; 240.001306; 239.579752; 239.426225; 239.076555; 238.533944; 238.214910; 237.965018; 237.194121; 236.531690; 236.716285; 237.263724; 237.957418; 238.107353; 237.763211; 238.045022; 238.607094; 238.594219; 238.512620; 238.382608; 238.354087; 238.283247; 238.278061; 239.102602; 239.505664; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10275.0; 14:27:26; (); (); (); (); (); (); (); (); (); 239.769712; 240.573451; 240.107238; 239.412040; 239.314526; 239.384308; 239.102885; 238.930583; 239.208162; 238.946676; 238.521561; 238.749385; 238.844678; 238.690719; 238.206774; 237.748981; 237.565726; 237.910062; 238.718003; 238.905549; 239.275053; 239.986166; 240.694299; 240.945354; 241.505727; 242.413253; 242.860481; 243.418887; 244.366154; 245.514572; 246.346653; 246.899739; 246.956453; 247.080356; 247.529492; 247.928336; 248.592660; 248.808801; 249.151871; 249.261975; 249.264002; 249.564499; 249.927595; 250.325203; 250.975877; 251.455843; 251.947880; 252.646834; 253.201723; 253.751934; 253.875077; 253.259659; 253.043413; 253.052264; 253.291249; 253.574312; 254.051954; 254.282802; 253.798604; 252.931535; 252.240717; 251.986593; 251.650095; 251.394689; 250.991136; 251.464486; 251.712233; 251.144707; 250.171512; 249.741375; 249.492288; 249.017090; 249.023125; 249.342635; 249.228537; 249.024287; 248.352692; 247.722551; 247.182086; 246.960536; 246.634528; 246.359184; 246.263221; 246.181443; 245.949268; 244.937629; 243.719727; 241.613716; 239.893675; 238.657758; 238.121942; 238.160610; 238.021597; 237.896115; 237.053320; 236.572042; 236.732513; 237.268195; 237.613827; 237.233043; 237.636551; 238.576263; 239.414200; 240.384445; 241.594493; 242.035881; 242.139935; 242.480323; 242.526263; 242.823690; 242.749020; 242.440596; 242.068261; 241.980091; 242.246583; 242.107898; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10277.4; 14:27:34; (); (); (); (); (); (); (); (); (); 240.812629; 240.833431; 240.721047; 240.576550; 240.480512; 240.812242; 241.373256; 242.018834; 242.843062; 243.098974; 242.579341; 242.263004; 242.043734; 242.246315; 242.336228; 242.071182; 241.734385; 242.203608; 243.299171; 244.363993; 244.981289; 245.384961; 245.745733; 246.278867; 246.249527; 246.683419; 247.610375; 248.772323; 249.326050; 250.182837; 251.349658; 252.031446; 252.050251; 252.139926; 252.484739; 252.284527; 252.035379; 252.004534; 252.188206; 253.348976; 253.789514; 253.809035; 254.016131; 254.088938; 254.135996; 253.695905; 254.042834; 254.699349; 254.650712; 254.377276; 254.516900; 254.851133; 254.943728; 254.916459; 254.143447; 253.716260; 253.213912; 252.330452; 252.057701; 252.044588; 252.807140; 252.828330; 252.013981; 251.702845; 251.682311; 251.263827; 250.986665; 250.949562; 251.151741; 252.019256; 252.819926; 253.430486; 253.811628; 254.023850; 253.955066; 253.919184; 254.232079; 255.337536; 255.959928; 256.254613; 257.172883; 257.711589; 257.546335; 256.725788; 256.313294; 256.328642; 256.267428; 256.145328; 255.802542; 256.013691; 255.969405; 255.400270; 254.366636; 253.158629; 251.843750; 250.877887; 249.956563; 248.812169; 248.579681; 248.065799; 247.708932; 247.751161; 247.551918; 247.173235; 246.572286; 246.345371; 246.506333; 246.551678; 246.715263; 247.032478; 247.022673; 247.288510; 248.163790; 248.282731; 248.319790; 247.662857; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10279.7; 14:27:43; (); (); (); (); (); (); (); (); (); 250.150055; 250.442117; 251.377791; 251.423925; 251.126319; 250.895619; 250.712365; 250.814915; 251.011252; 250.931263; 250.970721; 250.709087; 251.229912; 252.242893; 252.609938; 253.052741; 252.598941; 252.082616; 251.628518; 251.420289; 251.379550; 251.543880; 251.828134; 251.811177; 251.805604; 251.174152; 250.387967; 249.772608; 249.067098; 248.678461; 248.060808; 247.528508; 247.167736; 247.349516; 247.430950; 247.417301; 247.703955; 247.859016; 247.843936; 247.771442; 248.178869; 248.809457; 248.547748; 248.321787; 248.355702; 248.839855; 249.664351; 250.243902; 250.959635; 251.496345; 251.591623; 251.096815; 250.407159; 250.056803; 250.202924; 250.331014; 250.779420; 251.104891; 250.972092; 250.718683; 250.622422; 250.786334; 250.700086; 250.093669; 249.741346; 249.859884; 250.147939; 250.433803; 250.794381; 250.854224; 250.708431; 249.885619; 249.556527; 249.778345; 250.092566; 250.162035; 249.619499; 249.692157; 249.944463; 249.730319; 249.223143; 248.755977; 248.263985; 247.098163; 246.083260; 245.833874; 246.029377; 245.846584; 245.641366; 244.601652; 243.191943; 242.775679; 242.641509; 242.591813; 242.740020; 242.682427; 242.524043; 242.490128; 242.877856; 242.776752; 242.380515; 242.450610; 242.589936; 242.855400; 243.672624; 244.741514; 245.165408; 244.711041; 244.066387; 243.804619; 243.855789; 244.199485; 244.368106; 244.526401; 245.260045; 246.077001; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10282.1; 14:27:51; (); (); (); (); (); (); (); (); (); 248.334885; 248.336077; 248.302445; 248.227105; 248.368666; 248.314232; 248.133466; 248.286635; 248.050347; 248.014450; 247.919425; 248.238325; 248.367965; 248.674378; 249.427050; 249.774590; 250.007331; 250.321329; 250.363439; 250.354171; 250.614643; 251.040965; 250.901878; 250.878394; 250.586987; 250.294805; 250.424266; 251.264304; 251.619637; 250.885218; 250.012636; 249.085367; 248.474300; 248.550147; 248.741776; 248.660162; 248.696536; 248.615772; 248.749033; 249.318466; 249.290779; 248.961076; 248.389170; 248.015732; 248.287216; 248.732895; 249.383211; 250.138789; 250.396103; 250.063717; 249.658898; 249.115273; 248.832196; 248.455375; 248.008251; 247.779191; 247.583807; 247.481734; 247.485250; 247.143760; 247.249827; 247.777745; 247.846961; 247.821257; 248.238042; 248.697534; 249.201536; 249.697447; 250.077277; 250.086874; 250.549227; 250.744343; 250.593185; 250.671297; 251.013994; 251.390100; 251.137316; 250.924706; 250.632703; 249.783799; 249.029681; 248.448342; 247.972503; 247.195929; 246.724620; 246.642321; 246.457070; 245.541841; 244.427741; 243.566662; 242.581904; 241.687521; 240.682378; 240.331650; 240.173697; 240.125686; 240.079299; 240.070641; 240.225568; 239.979759; 239.548862; 239.758804; 240.233600; 240.580544; 240.896031; 241.169170; 241.569713; 241.905555; 242.043808; 242.211536; 242.156640; 242.198095; 242.266282; 242.703959; 243.594974; 243.619695; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10284.4; 14:28:00; (); (); (); (); (); (); (); (); (); 236.223504; 237.003446; 238.101095; 238.521770; 238.912955; 239.106461; 239.463195; 239.686325; 239.771068; 239.834115; 240.302294; 240.974471; 241.492078; 242.219463; 242.559060; 242.862821; 242.883429; 242.763251; 242.892936; 242.609307; 242.361128; 242.324933; 242.483571; 242.804006; 243.130028; 243.441015; 243.071154; 243.047312; 243.139312; 243.385389; 243.556201; 243.927613; 244.354248; 244.483098; 245.065436; 245.751426; 246.061280; 246.042952; 245.772526; 245.854408; 246.244669; 246.736392; 246.927202; 247.099742; 246.819794; 246.136054; 245.269597; 244.913176; 244.685397; 244.771734; 244.721904; 244.279683; 244.145811; 244.287178; 243.818015; 243.240654; 242.900461; 242.657587; 242.727295; 242.856443; 243.169829; 243.218452; 243.279114; 243.087903; 242.814898; 243.090570; 243.225351; 243.450731; 243.694082; 243.932843; 243.782714; 243.706211; 243.546367; 243.144065; 243.090630; 243.087441; 242.905974; 242.527053; 242.330089; 241.901591; 241.236329; 241.373584; 241.146296; 240.717918; 240.189120; 239.443287; 238.445625; 237.695917; 236.684024; 234.891072; 233.566597; 233.158663; 233.189449; 233.186126; 233.285412; 233.372718; 233.017519; 232.054919; 231.552824; 231.584385; 232.207090; 232.932121; 234.328881; 236.000508; 237.791434; 239.522040; 240.226597; 240.780890; 241.490796; 241.542384; 241.377518; 241.499916; 242.667004; 243.734315; 244.687274; 245.452419; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10286.8; 14:28:08; (); (); (); (); (); (); (); (); (); 242.623672; 242.956281; 243.197665; 243.231341; 243.249699; 243.385166; 243.645355; 243.461803; 243.139893; 243.089393; 242.401883; 241.608843; 241.339773; 241.025895; 240.870908; 240.794614; 240.577310; 240.213215; 239.479601; 238.429114; 237.558350; 237.093836; 237.057164; 237.302229; 237.150282; 237.278938; 237.697721; 237.887755; 238.078505; 237.747028; 237.259075; 237.067193; 236.773327; 237.214983; 238.092571; 238.318563; 238.435075; 238.546610; 238.301754; 238.118812; 238.094673; 238.015190; 238.053411; 237.718284; 237.908795; 238.747388; 239.549607; 240.707770; 241.284654; 241.701156; 242.016762; 242.120117; 242.155820; 242.035910; 241.669461; 241.798475; 241.727546; 241.640612; 241.469428; 241.225734; 240.569219; 240.045965; 239.651099; 239.568949; 239.324108; 239.243463; 239.439502; 240.148410; 241.375089; 242.366046; 243.016541; 243.709102; 244.017318; 244.696185; 245.003521; 245.152354; 244.907707; 244.349584; 243.687108; 243.531153; 243.629813; 243.258402; 242.583141; 242.223427; 242.321879; 241.716430; 240.656018; 239.501566; 238.278076; 237.577811; 237.231031; 237.567663; 237.808555; 238.277942; 238.640115; 238.345653; 238.563120; 238.724262; 238.401562; 237.818688; 237.822622; 238.361076; 239.303678; 240.299210; 240.695804; 240.515321; 239.783704; 239.136636; 238.440886; 237.834275; 237.677008; 237.053424; 236.572355; 236.541793; 236.503527; 236.537531; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10289.1; 14:28:17; (); (); (); (); (); (); (); (); (); 231.709898; 232.383654; 232.750878; 233.096093; 233.447671; 233.397260; 233.316600; 233.581305; 234.189540; 234.331667; 234.526426; 235.051841; 235.214174; 235.457778; 235.652417; 235.474363; 235.474288; 235.618502; 235.839814; 236.046478; 236.523762; 236.879557; 237.303689; 237.695590; 237.923473; 237.930954; 237.584874; 237.550095; 238.198727; 238.933444; 239.482462; 239.944443; 240.302756; 240.221113; 240.675315; 241.179645; 241.366923; 241.184056; 240.927309; 241.182283; 241.087481; 241.068974; 241.098627; 241.249844; 241.483301; 241.449669; 241.214707; 241.015822; 241.447225; 241.069689; 240.226537; 240.086868; 240.715057; 241.518050; 241.974771; 242.579356; 242.607325; 242.344141; 241.602525; 240.861028; 240.558639; 241.017655; 241.739929; 241.739884; 242.022976; 242.584318; 242.860943; 242.143765; 241.671488; 241.294578; 241.435915; 242.144063; 242.927894; 243.773401; 244.356096; 244.872794; 244.453117; 243.732423; 243.468791; 243.660197; 244.091466; 243.949264; 243.951023; 244.015858; 243.929029; 243.549511; 243.191078; 242.866442; 242.152154; 240.906417; 240.094066; 240.291506; 241.047040; 241.200879; 240.550891; 240.034282; 239.660904; 239.804059; 239.595056; 239.277527; 238.816023; 239.075631; 239.149556; 239.528000; 239.902243; 239.766404; 238.995403; 237.903610; 237.202972; 236.883119; 236.773640; 236.998215; 236.712217; 236.445725; 236.184999; 236.232370; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
