Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_FMI2.txt

10.4; 08:01:58; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.286412; 262.773216; 261.781484; 261.339128; 261.250883; 261.037022; 260.887474; 260.899723; 260.816783; 260.787547; 260.590076; 260.043085; 259.742141; 259.388149; 258.875579; 258.890450; 259.078145; 259.321123; 258.977324; 258.191824; 257.664025; 257.273167; 256.779194; 256.229818; 255.783558; 255.728513; 255.627722; 254.998714; 254.415631; 254.083037; 253.599137; 253.425300; 253.100395; 253.063083; 253.534913; 254.006505; 254.276514; 254.311472; 254.004121; 253.624618; 253.725499; 254.277319; 254.878759; 255.481482; 255.663067; 255.866796; 256.466150; 256.995857; 257.174939; 257.388800; 257.745177; 258.261979; 258.888304; 259.243190; 259.550482; 259.542793; 258.661330; 257.950723; 257.644236; 257.464439; 257.126957; 256.592780; 256.587714; 256.660491; 256.246418; 255.470872; 254.345864; 253.628761; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11.4; 08:02:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.286412; 264.407933; 264.138490; 263.263047; 262.567192; 262.226939; 262.144297; 261.869639; 261.382759; 260.867655; 260.605037; 260.474145; 260.101616; 259.765983; 259.486169; 258.904487; 258.474380; 258.641809; 258.927554; 259.072989; 258.437425; 257.813573; 257.622153; 257.250100; 256.910324; 256.341249; 256.182611; 256.378412; 255.999029; 255.391181; 254.949600; 254.477859; 254.046202; 253.864586; 253.510177; 253.789514; 254.324406; 254.622191; 254.682809; 254.457980; 254.129291; 253.818244; 254.079729; 254.740775; 255.308986; 255.709261; 255.966097; 256.246209; 256.826937; 257.116914; 256.914020; 256.997198; 257.476568; 258.109212; 258.634806; 258.991927; 259.308577; 258.950919; 258.056670; 257.367611; 257.251650; 257.184684; 256.844372; 256.278276; 256.644934; 256.891370; 256.197989; 255.212128; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
12.3; 08:02:08; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.461322; 262.916744; 261.885673; 261.447817; 261.374861; 261.221111; 261.094570; 261.111349; 260.921091; 260.740370; 260.498047; 260.062844; 259.794831; 259.415895; 258.926749; 259.039134; 259.296268; 259.537876; 259.284049; 258.413255; 257.859081; 257.492483; 257.038504; 256.497979; 256.138176; 256.127775; 255.990893; 255.367488; 254.756063; 254.260331; 253.672093; 253.369838; 252.985328; 253.020018; 253.606856; 254.078656; 254.181862; 254.115909; 253.847033; 253.565460; 253.752172; 254.230082; 254.862428; 255.401641; 255.757421; 256.143093; 256.831616; 257.252693; 257.248968; 257.250637; 257.576317; 258.296728; 259.021252; 259.318799; 259.585232; 259.440899; 258.742630; 258.065134; 257.679820; 257.428020; 256.917119; 256.283611; 256.433427; 256.644249; 256.379157; 255.527109; 254.103720; 253.249437; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13.3; 08:02:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.172465; 264.199525; 263.894171; 263.099670; 262.465328; 262.246728; 262.126625; 261.758149; 261.314362; 260.836571; 260.706902; 260.728747; 260.495543; 260.012627; 259.693623; 259.232134; 258.962721; 259.197980; 259.543300; 259.659261; 259.204865; 258.553028; 258.131713; 257.688224; 257.224649; 256.648302; 256.416619; 256.467998; 256.207258; 255.530953; 254.959017; 254.301578; 253.794998; 253.500253; 253.180057; 253.358245; 253.949314; 254.222304; 254.289210; 254.164189; 253.886998; 253.628135; 253.785819; 254.501969; 255.251169; 255.648047; 255.867720; 256.025314; 256.566465; 256.824583; 256.832123; 257.017136; 257.613719; 258.259922; 258.759588; 259.080857; 259.392321; 259.179652; 258.193433; 257.483274; 257.452160; 257.489324; 257.277668; 256.791532; 257.203043; 257.308424; 256.576627; 255.666524; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
14.3; 08:02:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.468415; 262.961268; 262.042314; 261.608392; 261.525810; 261.353195; 261.186033; 261.195302; 261.015266; 260.905087; 260.784835; 260.315418; 260.007739; 259.618551; 259.111732; 259.169072; 259.404093; 259.656519; 259.305835; 258.448988; 258.016318; 257.714480; 257.158667; 256.631732; 256.274223; 256.259531; 256.115884; 255.509138; 254.846692; 254.359722; 253.756255; 253.357679; 252.996534; 252.968371; 253.494799; 254.036039; 254.188299; 254.076302; 253.748775; 253.569007; 253.682315; 254.227161; 254.944593; 255.494416; 255.792290; 255.957633; 256.567448; 257.107198; 257.157564; 257.254839; 257.617325; 258.256972; 258.831322; 259.178728; 259.511292; 259.395570; 258.625567; 258.028567; 257.618576; 257.301301; 257.107973; 256.680220; 256.671131; 256.846189; 256.444782; 255.558282; 254.358977; 253.793657; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15.2; 08:02:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.468415; 264.278203; 264.155596; 263.565391; 262.791634; 262.479573; 262.321740; 262.086928; 261.695653; 261.243105; 260.963798; 260.787010; 260.475427; 259.924352; 259.659141; 259.109408; 258.639812; 258.783728; 258.970559; 259.153575; 258.672357; 258.029312; 257.687777; 257.191956; 256.724894; 256.174117; 255.952626; 256.143570; 255.955726; 255.388170; 254.924566; 254.374832; 253.921896; 253.656387; 253.253907; 253.363520; 253.764451; 254.066020; 254.253089; 254.145086; 253.855735; 253.629744; 253.742754; 254.305154; 254.983574; 255.284846; 255.460262; 255.691707; 256.283253; 256.481469; 256.368428; 256.468207; 256.839275; 257.432461; 258.057833; 258.443743; 258.824617; 258.871585; 258.020967; 257.268786; 257.177651; 257.191569; 256.962508; 256.585717; 256.916404; 257.364422; 257.073492; 256.196827; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
16.2; 08:02:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.978835; 261.221617; 261.101067; 261.096895; 260.861009; 260.730922; 260.699749; 260.741651; 260.787666; 260.562509; 260.082304; 259.862125; 259.385973; 258.994877; 259.141624; 259.326339; 259.420961; 258.934289; 258.120686; 257.697463; 257.288635; 256.882280; 256.494880; 256.181270; 256.159753; 255.953133; 255.268484; 254.656643; 254.100233; 253.496617; 253.228873; 252.843320; 252.957731; 253.542334; 253.967851; 254.129589; 253.997415; 253.615260; 253.253639; 253.405631; 254.013658; 254.653275; 255.156487; 255.464941; 255.813748; 256.571859; 256.938040; 257.089019; 257.185072; 257.514447; 258.382499; 259.038210; 259.458274; 259.791762; 259.785801; 259.007722; 258.212358; 257.958710; 257.766962; 257.411212; 257.055253; 257.165670; 257.241011; 256.878734; 256.039053; 254.875362; 254.019707; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
17.2; 08:02:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.601618; 264.561772; 264.349192; 263.601989; 262.995362; 262.774229; 262.575477; 262.232602; 261.799961; 261.318862; 261.014760; 260.863483; 260.533839; 260.096371; 259.823382; 259.360820; 258.956939; 259.034097; 259.305507; 259.394228; 258.905023; 258.253396; 257.765979; 257.324010; 256.955653; 256.438464; 256.184042; 256.280601; 255.973220; 255.364358; 254.799485; 254.116565; 253.638536; 253.322273; 252.938896; 253.111184; 253.629714; 253.978938; 254.105002; 253.937334; 253.712714; 253.496140; 253.711939; 254.336387; 254.994333; 255.490869; 255.779207; 256.079197; 256.792217; 257.044673; 256.962359; 256.965637; 257.352769; 258.032322; 258.683413; 259.049356; 259.318352; 259.102196; 258.235812; 257.603109; 257.430911; 257.450193; 257.178336; 256.638318; 256.977260; 257.299989; 256.950319; 255.981505; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
18.2; 08:02:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.950527; 263.278276; 262.340099; 261.968642; 261.885524; 261.690974; 261.558831; 261.476249; 261.331767; 261.148721; 260.887116; 260.427445; 260.119289; 259.614170; 259.143203; 259.137839; 259.367853; 259.618610; 259.123981; 258.372247; 257.947475; 257.531017; 257.128388; 256.454527; 256.189436; 256.186336; 255.992085; 255.323112; 254.735947; 254.283309; 253.792912; 253.577918; 253.181934; 253.198802; 253.634661; 254.036546; 254.289240; 254.241109; 253.988743; 253.735930; 253.813326; 254.318386; 254.973739; 255.460680; 255.734026; 255.904913; 256.552368; 257.100105; 257.175624; 257.357031; 257.578611; 258.155167; 258.815944; 259.151608; 259.457171; 259.521544; 258.851618; 258.163452; 257.799327; 257.573098; 257.298768; 256.849915; 256.684542; 256.865084; 256.496251; 255.697489; 254.531801; 253.897935; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
19.1; 08:02:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.270276; 264.279991; 263.974130; 263.405859; 262.774438; 262.585938; 262.457907; 262.179673; 261.810184; 261.293769; 261.070281; 260.967940; 260.841221; 260.321379; 259.956896; 259.398162; 259.058177; 259.285212; 259.505868; 259.526432; 258.814663; 258.119702; 257.848203; 257.451922; 256.944507; 256.386340; 256.339788; 256.461740; 256.318957; 255.609065; 255.032182; 254.513949; 254.065663; 253.711343; 253.407478; 253.602743; 254.003078; 254.326642; 254.441500; 254.241586; 253.870219; 253.614813; 253.842205; 254.499704; 255.115718; 255.500883; 255.572349; 255.793303; 256.557643; 257.001996; 257.079631; 257.213265; 257.645756; 258.319050; 258.911312; 259.247392; 259.586483; 259.370834; 258.423060; 258.022845; 257.907063; 258.055389; 257.816255; 257.229745; 257.463336; 257.577628; 257.073492; 256.182969; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
