Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:44:16
File Name; D:\Mahlo\TR\171120074416FP 4577_360 GSM3_XMF2.txt

38142.0; 07:46:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.446562; 0.448569; 0.450989; 0.453016; 0.454801; 0.456197; 0.457476; 0.459692; 0.464661; 0.466795; 0.467104; 0.468457; 0.469011; 0.470698; 0.472057; 0.473266; 0.473552; 0.473157; 0.472826; 0.472082; 0.471915; 0.471436; 0.470991; 0.470475; 0.469900; 0.469733; 0.468928; 0.468636; 0.467941; 0.467502; 0.466576; 0.465018; 0.463394; 0.462152; 0.461140; 0.460776; 0.460827; 0.461116; 0.461239; 0.461409; 0.461656; 0.462166; 0.462672; 0.463400; 0.464706; 0.467089; 0.469851; 0.473423; 0.476848; 0.479637; 0.481642; 0.483867; 0.485955; 0.487654; 0.488711; 0.489629; 0.490297; 0.490709; 0.490781; 0.489572; 0.486138; 0.484818; 0.483962; 0.482852; 0.481414; 0.479467; 0.476091; 0.473677; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38143.0; 07:46:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.446540; 0.448623; 0.450769; 0.452526; 0.453640; 0.454977; 0.456362; 0.460544; 0.464189; 0.465626; 0.466657; 0.468356; 0.470026; 0.471625; 0.473124; 0.474438; 0.475033; 0.475383; 0.475502; 0.475797; 0.475825; 0.475739; 0.475383; 0.475140; 0.474956; 0.475163; 0.475493; 0.475887; 0.475831; 0.475497; 0.474632; 0.473817; 0.472937; 0.471920; 0.470847; 0.470221; 0.469836; 0.469654; 0.469044; 0.468286; 0.466900; 0.465952; 0.464995; 0.464844; 0.465697; 0.467150; 0.469207; 0.471227; 0.473903; 0.476761; 0.479015; 0.481900; 0.484047; 0.486121; 0.487134; 0.488641; 0.490025; 0.489993; 0.490091; 0.485597; 0.483315; 0.482717; 0.481884; 0.480809; 0.478346; 0.475993; 0.472241; 0.470259; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38143.9; 07:46:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.443397; 0.444666; 0.446238; 0.448672; 0.451090; 0.452469; 0.453585; 0.454522; 0.458080; 0.459787; 0.461045; 0.462472; 0.463717; 0.465980; 0.467492; 0.468794; 0.469449; 0.469256; 0.469014; 0.468095; 0.468121; 0.467819; 0.467924; 0.467546; 0.467412; 0.467410; 0.466679; 0.466421; 0.466002; 0.465590; 0.464632; 0.463186; 0.461640; 0.460276; 0.459473; 0.458973; 0.459077; 0.459288; 0.459426; 0.459447; 0.459748; 0.460361; 0.460803; 0.461390; 0.462497; 0.464677; 0.467885; 0.471394; 0.474809; 0.477480; 0.479673; 0.481738; 0.483926; 0.485674; 0.486834; 0.487506; 0.487991; 0.488334; 0.488114; 0.486861; 0.484077; 0.483452; 0.482953; 0.482091; 0.480505; 0.478236; 0.474937; 0.470259; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38144.9; 07:46:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.445442; 0.447868; 0.450317; 0.451869; 0.453315; 0.454844; 0.456503; 0.460945; 0.463893; 0.465475; 0.466602; 0.468073; 0.469733; 0.471719; 0.473463; 0.474745; 0.475434; 0.475821; 0.475995; 0.476399; 0.476440; 0.476306; 0.476067; 0.475790; 0.475676; 0.476040; 0.476426; 0.476824; 0.476897; 0.476554; 0.475859; 0.475334; 0.474520; 0.473633; 0.472543; 0.471721; 0.471103; 0.470799; 0.470169; 0.469418; 0.468011; 0.466653; 0.465694; 0.465246; 0.465910; 0.466784; 0.468321; 0.470616; 0.473173; 0.475893; 0.478121; 0.481386; 0.483720; 0.485542; 0.487194; 0.488587; 0.490271; 0.491189; 0.491658; 0.488404; 0.488060; 0.488030; 0.487394; 0.486583; 0.484908; 0.482667; 0.479948; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38145.9; 07:46:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.442392; 0.444270; 0.445887; 0.448380; 0.450735; 0.452244; 0.453176; 0.454902; 0.459325; 0.461538; 0.461701; 0.463310; 0.464433; 0.466498; 0.467645; 0.469023; 0.469741; 0.469324; 0.469188; 0.468348; 0.468151; 0.468068; 0.468092; 0.467769; 0.467502; 0.467609; 0.466989; 0.466710; 0.466307; 0.466100; 0.465385; 0.464024; 0.462558; 0.461335; 0.460791; 0.460573; 0.460683; 0.460865; 0.461085; 0.461334; 0.461651; 0.462223; 0.462876; 0.463629; 0.464683; 0.466667; 0.469854; 0.472979; 0.475916; 0.478881; 0.481630; 0.483909; 0.485767; 0.487406; 0.488275; 0.488766; 0.489187; 0.489540; 0.489232; 0.487557; 0.483775; 0.481059; 0.480094; 0.478924; 0.477098; 0.474630; 0.471170; 0.468007; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38146.9; 07:46:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.445013; 0.446861; 0.449331; 0.451305; 0.452569; 0.453928; 0.455769; 0.459953; 0.462976; 0.464430; 0.465392; 0.467092; 0.469030; 0.470820; 0.472543; 0.473887; 0.474484; 0.474864; 0.475124; 0.475492; 0.475516; 0.475349; 0.475096; 0.474973; 0.474730; 0.474985; 0.475445; 0.476051; 0.476161; 0.475945; 0.475385; 0.474698; 0.474006; 0.473170; 0.472195; 0.471468; 0.470920; 0.470674; 0.470014; 0.469272; 0.467958; 0.466706; 0.465505; 0.465287; 0.465959; 0.467218; 0.469282; 0.471127; 0.473870; 0.477023; 0.479226; 0.481843; 0.483928; 0.486473; 0.487467; 0.489007; 0.490461; 0.490904; 0.490991; 0.486559; 0.482465; 0.481752; 0.480828; 0.479295; 0.476486; 0.474539; 0.471134; 0.468855; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38147.8; 07:46:34; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.449339; 0.450635; 0.452477; 0.454415; 0.456016; 0.456647; 0.457254; 0.457607; 0.460993; 0.462885; 0.463038; 0.464192; 0.464905; 0.466929; 0.467769; 0.469043; 0.469395; 0.468999; 0.468869; 0.468242; 0.468395; 0.468396; 0.468473; 0.468177; 0.468105; 0.468307; 0.467898; 0.467700; 0.467497; 0.467550; 0.466867; 0.465494; 0.464176; 0.463057; 0.462397; 0.462043; 0.461967; 0.462255; 0.462432; 0.462655; 0.463106; 0.463677; 0.464106; 0.464691; 0.465697; 0.467406; 0.470089; 0.473669; 0.476929; 0.479570; 0.482096; 0.484819; 0.486857; 0.488301; 0.489197; 0.489815; 0.490349; 0.490674; 0.490496; 0.489402; 0.486549; 0.485299; 0.484488; 0.483648; 0.482313; 0.479916; 0.476606; 0.474528; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38148.8; 07:46:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.446246; 0.447799; 0.449804; 0.451452; 0.452901; 0.454170; 0.455375; 0.458698; 0.461891; 0.463527; 0.464823; 0.466526; 0.468389; 0.470647; 0.472378; 0.474040; 0.474813; 0.475147; 0.475521; 0.476016; 0.476351; 0.476446; 0.476257; 0.476113; 0.475968; 0.476267; 0.476684; 0.477132; 0.477232; 0.477185; 0.476772; 0.476325; 0.475794; 0.474979; 0.474053; 0.473416; 0.472900; 0.472576; 0.471927; 0.471208; 0.469927; 0.468899; 0.468036; 0.467702; 0.468023; 0.469036; 0.470836; 0.473080; 0.475597; 0.478399; 0.480725; 0.483803; 0.486194; 0.488275; 0.489787; 0.491549; 0.492941; 0.493396; 0.493631; 0.490047; 0.489031; 0.488795; 0.488142; 0.487156; 0.485236; 0.483393; 0.480160; 0.474528; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38149.8; 07:46:44; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.444976; 0.446469; 0.448407; 0.450661; 0.452589; 0.453454; 0.454057; 0.454395; 0.457287; 0.459025; 0.460461; 0.461837; 0.463278; 0.465259; 0.466168; 0.467876; 0.468344; 0.467994; 0.467751; 0.467213; 0.467502; 0.467738; 0.468051; 0.467755; 0.467672; 0.467838; 0.467423; 0.467245; 0.467069; 0.467075; 0.466337; 0.465106; 0.463782; 0.462659; 0.462035; 0.461734; 0.461770; 0.462027; 0.462389; 0.462852; 0.463245; 0.463863; 0.464280; 0.464918; 0.465861; 0.467577; 0.470677; 0.474216; 0.477519; 0.480058; 0.482446; 0.484658; 0.486507; 0.488181; 0.489077; 0.489582; 0.490038; 0.490290; 0.489935; 0.488470; 0.485420; 0.484222; 0.483357; 0.482060; 0.480351; 0.478298; 0.475304; 0.472794; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38150.8; 07:46:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.444814; 0.446008; 0.448066; 0.449994; 0.451346; 0.452584; 0.453879; 0.457793; 0.460700; 0.461619; 0.462765; 0.464911; 0.466991; 0.469014; 0.471137; 0.472904; 0.473655; 0.474080; 0.474558; 0.475260; 0.475565; 0.475609; 0.475484; 0.475360; 0.475351; 0.475696; 0.476088; 0.476750; 0.476811; 0.476755; 0.476351; 0.475997; 0.475229; 0.474414; 0.473604; 0.473033; 0.472613; 0.472505; 0.472074; 0.471259; 0.469933; 0.469043; 0.468204; 0.467804; 0.468217; 0.469468; 0.471060; 0.473651; 0.476310; 0.479230; 0.482053; 0.484899; 0.486832; 0.488779; 0.490513; 0.491537; 0.493115; 0.493278; 0.493091; 0.489111; 0.486901; 0.486389; 0.485329; 0.484037; 0.481406; 0.478925; 0.475825; 0.474217; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
