Roll Number; 1
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-15; 11:55:22
File Name; D:\Mahlo\TR\171115115522FP 4577_360 GSM1_THICKNESS2.txt

35949.9; 11:57:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.035178; 1.038083; 1.038982; 1.038055; 1.036037; 1.034437; 1.034575; 1.035653; 1.036160; 1.035983; 1.035136; 1.033829; 1.032771; 1.032656; 1.033357; 1.032983; 1.033261; 1.034291; 1.036186; 1.039045; 1.041375; 1.041864; 1.040507; 1.039944; 1.039951; 1.039455; 1.040704; 1.044660; 1.047857; 1.049573; 1.050754; 1.049393; 1.047503; 1.046068; 1.045245; 1.044570; 1.044518; 1.044552; 1.044482; 1.045760; 1.047689; 1.046636; 1.044514; 1.042198; 1.040938; 1.042727; 1.045123; 1.048529; 1.051926; 1.055439; 1.060334; 1.065221; 1.065509; 1.066516; 1.069526; 1.071269; 1.074137; 1.073759; 1.072526; 1.070512; 1.068254; 1.066748; 1.065932; 1.065363; 1.063419; 1.058540; 1.055754; 1.058872; 1.058101; 1.054577; 1.053646; 1.053208; 1.055184; 1.057127; 1.058520; 1.059154; 1.056178; 1.052576; 1.049241; 1.047663; 1.049583; 1.052567; 1.053159; 1.056270; 1.059274; 1.059054; 1.058350; 1.057405; 1.058535; 1.059681; 1.060897; 1.065841; 1.070459; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35953.1; 11:57:31; (); (); (); (); (); (); 1.014678; 1.013793; 1.015084; 1.017491; 1.019179; 1.020107; 1.020491; 1.021248; 1.020923; 1.019868; 1.019854; 1.019997; 1.020510; 1.020914; 1.021187; 1.022355; 1.024305; 1.023971; 1.023157; 1.022743; 1.022775; 1.021957; 1.022215; 1.024091; 1.026063; 1.026642; 1.028616; 1.029604; 1.030639; 1.032157; 1.033246; 1.032722; 1.034260; 1.036067; 1.037508; 1.038176; 1.037039; 1.035920; 1.036468; 1.038739; 1.040499; 1.041937; 1.044205; 1.044544; 1.042330; 1.040034; 1.037988; 1.035518; 1.033238; 1.032319; 1.032332; 1.034352; 1.034855; 1.033410; 1.031214; 1.029162; 1.026024; 1.024328; 1.022819; 1.022128; 1.023826; 1.026689; 1.028128; 1.030506; 1.031624; 1.030810; 1.029588; 1.031163; 1.033460; 1.035118; 1.035737; 1.037731; 1.037377; 1.037781; 1.038344; 1.037927; 1.037632; 1.037383; 1.036664; 1.036549; 1.038802; 1.043685; 1.046710; 1.047164; 1.049296; 1.052726; 1.054549; 1.058997; 1.061869; 1.064594; 1.066637; 1.068071; 1.068356; 1.069075; 1.070047; 1.071328; 1.072313; 1.073516; 1.074626; 1.074177; 1.073037; 1.073207; 1.071817; 1.072016; 1.073334; 1.074931; 1.076971; 1.079852; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35955.6; 11:57:40; (); (); (); (); (); (); 1.012666; 1.013059; 1.013850; 1.015805; 1.018143; 1.019679; 1.020280; 1.019842; 1.021254; 1.021794; 1.022138; 1.022740; 1.023037; 1.023194; 1.027064; 1.029953; 1.030496; 1.028274; 1.026980; 1.028917; 1.029026; 1.028251; 1.030260; 1.032545; 1.035066; 1.038888; 1.043795; 1.046312; 1.045728; 1.043772; 1.042497; 1.045225; 1.049570; 1.051366; 1.048159; 1.049803; 1.052646; 1.054534; 1.053151; 1.053608; 1.054063; 1.051969; 1.050798; 1.053229; 1.050967; 1.050165; 1.049159; 1.047154; 1.045540; 1.046669; 1.046953; 1.046463; 1.046018; 1.047117; 1.046086; 1.044333; 1.044183; 1.045964; 1.047559; 1.053726; 1.057534; 1.062268; 1.068289; 1.071937; 1.076053; 1.078756; 1.080098; 1.080870; 1.080928; 1.083465; 1.087666; 1.092151; 1.095988; 1.097520; 1.097945; 1.098353; 1.095308; 1.092379; 1.092992; 1.093491; 1.094417; 1.094164; 1.094501; 1.095800; 1.095169; 1.092373; 1.087306; 1.082257; 1.079162; 1.075103; 1.073269; 1.073417; 1.073331; 1.072187; 1.071365; 1.069865; 1.067915; 1.066688; 1.067024; 1.068233; 1.071126; 1.070025; 1.066888; 1.065827; 1.065149; 1.064049; 1.063321; 1.062239; 1.060121; 1.055551; 1.053169; 1.053476; 1.053475; 1.051334; 1.048053; 1.043225; 1.045927; 1.048628; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35958.1; 11:57:49; (); (); (); (); (); (); 1.053153; 1.053625; 1.052679; 1.052761; 1.052801; 1.052156; 1.051476; 1.051003; 1.049111; 1.047014; 1.044842; 1.041049; 1.037660; 1.037182; 1.036697; 1.036710; 1.035557; 1.036590; 1.036577; 1.037383; 1.038689; 1.039612; 1.039929; 1.041437; 1.042850; 1.045005; 1.048481; 1.048429; 1.048450; 1.047524; 1.045950; 1.045916; 1.045959; 1.045890; 1.045657; 1.045799; 1.044915; 1.045619; 1.044451; 1.043896; 1.044039; 1.043983; 1.045903; 1.046757; 1.048617; 1.050676; 1.049567; 1.048900; 1.048975; 1.049275; 1.049558; 1.051236; 1.052050; 1.055215; 1.056413; 1.054537; 1.050506; 1.050173; 1.053088; 1.055185; 1.057036; 1.059133; 1.062296; 1.064051; 1.063741; 1.061601; 1.059676; 1.058717; 1.058070; 1.058123; 1.060132; 1.064264; 1.066703; 1.064413; 1.061229; 1.058136; 1.055220; 1.050715; 1.048233; 1.049162; 1.051427; 1.052503; 1.051354; 1.049105; 1.046741; 1.044717; 1.042985; 1.040243; 1.040844; 1.043042; 1.045039; 1.046132; 1.048630; 1.049141; 1.049397; 1.050494; 1.052650; 1.054818; 1.056712; 1.057947; 1.058085; 1.058843; 1.062033; 1.064177; 1.062841; 1.064371; 1.068632; 1.072687; 1.075456; 1.076647; 1.076457; 1.075551; 1.076086; 1.077429; 1.080355; 1.085418; 1.088311; 1.088627; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35960.6; 11:57:57; (); (); (); (); (); (); 1.063600; 1.064079; 1.066544; 1.067556; 1.067188; 1.065805; 1.062649; 1.062025; 1.061354; 1.061284; 1.061837; 1.061247; 1.059503; 1.057406; 1.055129; 1.053249; 1.052172; 1.050095; 1.047351; 1.046028; 1.045978; 1.045849; 1.043185; 1.041165; 1.040683; 1.039928; 1.038123; 1.036276; 1.034790; 1.032900; 1.029057; 1.025104; 1.021789; 1.018984; 1.016812; 1.014242; 1.012244; 1.011455; 1.011634; 1.011257; 1.008671; 1.005072; 1.004953; 1.006218; 1.008369; 1.010250; 1.011438; 1.010981; 1.010069; 1.008804; 1.007352; 1.006794; 1.006225; 1.003357; 0.999344; 0.998175; 1.001298; 1.001213; 0.998870; 0.996948; 0.996145; 0.995297; 0.997530; 1.000569; 1.003048; 1.004351; 1.004671; 1.005336; 1.007944; 1.011591; 1.013233; 1.012165; 1.011956; 1.011570; 1.011247; 1.011942; 1.012244; 1.010408; 1.008697; 1.008612; 1.010208; 1.011462; 1.013975; 1.015442; 1.016161; 1.018059; 1.021357; 1.023874; 1.027906; 1.031547; 1.033187; 1.033344; 1.034400; 1.036707; 1.038979; 1.041893; 1.046784; 1.048361; 1.050560; 1.053324; 1.054833; 1.054627; 1.055184; 1.054400; 1.054949; 1.057260; 1.058898; 1.060982; 1.061109; 1.059640; 1.056987; 1.055688; 1.055068; 1.053687; 1.051987; 1.050674; 1.050219; 1.050698; 1.051038; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35963.1; 11:58:06; (); (); (); (); (); (); (); 1.034072; 1.036174; 1.035449; 1.035854; 1.037353; 1.037084; 1.035416; 1.036842; 1.037344; 1.037466; 1.038644; 1.040003; 1.042324; 1.042966; 1.042804; 1.042734; 1.042800; 1.046425; 1.048529; 1.050266; 1.052780; 1.054753; 1.055189; 1.057553; 1.059157; 1.059440; 1.058937; 1.057948; 1.059942; 1.062869; 1.064185; 1.063327; 1.060722; 1.059426; 1.058938; 1.058705; 1.058173; 1.056372; 1.053610; 1.052147; 1.052048; 1.052438; 1.051813; 1.050646; 1.049158; 1.046608; 1.045398; 1.044271; 1.039896; 1.036106; 1.033588; 1.032838; 1.032010; 1.032396; 1.032394; 1.031399; 1.030190; 1.028564; 1.026133; 1.026273; 1.028005; 1.030440; 1.034629; 1.040066; 1.043248; 1.044441; 1.046209; 1.046941; 1.045306; 1.045715; 1.047729; 1.049609; 1.052556; 1.054955; 1.055435; 1.053390; 1.051308; 1.048350; 1.045209; 1.044865; 1.046874; 1.048735; 1.050952; 1.053130; 1.052125; 1.049641; 1.046056; 1.044206; 1.044914; 1.048566; 1.052225; 1.055167; 1.058629; 1.062071; 1.062109; 1.061311; 1.060728; 1.061537; 1.062316; 1.064563; 1.068025; 1.071631; 1.072306; 1.070350; 1.066418; 1.063657; 1.062718; 1.060654; 1.059256; 1.058745; 1.059490; 1.059657; 1.058823; 1.058320; 1.056946; 1.054823; 1.053033; 1.053405; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35965.6; 11:58:14; (); (); (); (); (); (); (); 1.042955; 1.042893; 1.042813; 1.043422; 1.045840; 1.045740; 1.047089; 1.048131; 1.048933; 1.050237; 1.050001; 1.048470; 1.045579; 1.042568; 1.039665; 1.034976; 1.034102; 1.034356; 1.034161; 1.031621; 1.029011; 1.024628; 1.022410; 1.024850; 1.030020; 1.031338; 1.030828; 1.029655; 1.027953; 1.029010; 1.030198; 1.030570; 1.030750; 1.030742; 1.029908; 1.031216; 1.034055; 1.035978; 1.035150; 1.034460; 1.036027; 1.038515; 1.040972; 1.042940; 1.043703; 1.043001; 1.040880; 1.038511; 1.037327; 1.038568; 1.037706; 1.035405; 1.032589; 1.029187; 1.026358; 1.025545; 1.023776; 1.022031; 1.022249; 1.023224; 1.026769; 1.030973; 1.035212; 1.038147; 1.039103; 1.041008; 1.044944; 1.047669; 1.049071; 1.050808; 1.051314; 1.052562; 1.054887; 1.056937; 1.056695; 1.055566; 1.054540; 1.053418; 1.053098; 1.054455; 1.056972; 1.057417; 1.058122; 1.058451; 1.056510; 1.056083; 1.057065; 1.057975; 1.059429; 1.060549; 1.059818; 1.059263; 1.058627; 1.056760; 1.054245; 1.051872; 1.050787; 1.050034; 1.049377; 1.050900; 1.049713; 1.047675; 1.045607; 1.043897; 1.044182; 1.047049; 1.046405; 1.045705; 1.045969; 1.048057; 1.048751; 1.048287; 1.049047; 1.050487; 1.051181; 1.054255; 1.056454; 1.056497; 1.055176; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35968.1; 11:58:23; (); (); (); (); (); (); (); 1.042955; 1.034593; 1.037283; 1.036535; 1.034887; 1.034563; 1.034623; 1.034268; 1.034375; 1.035239; 1.035779; 1.034195; 1.032074; 1.030703; 1.027347; 1.024933; 1.022648; 1.020912; 1.020799; 1.021998; 1.021459; 1.019574; 1.018482; 1.019463; 1.020642; 1.021822; 1.021875; 1.021751; 1.022705; 1.026265; 1.027522; 1.028895; 1.030313; 1.031906; 1.032430; 1.033066; 1.035248; 1.037388; 1.039143; 1.041280; 1.043853; 1.047849; 1.052140; 1.055406; 1.055462; 1.056726; 1.058564; 1.059920; 1.060656; 1.062128; 1.062462; 1.063316; 1.064180; 1.063771; 1.061627; 1.061964; 1.063671; 1.064673; 1.064533; 1.066015; 1.066339; 1.065149; 1.063914; 1.063712; 1.064940; 1.068578; 1.071800; 1.073608; 1.073977; 1.074417; 1.071936; 1.068853; 1.064476; 1.062432; 1.062956; 1.061805; 1.061376; 1.061770; 1.061333; 1.059136; 1.056693; 1.054226; 1.052874; 1.053408; 1.053988; 1.055072; 1.057144; 1.058642; 1.058498; 1.056284; 1.056457; 1.057632; 1.058615; 1.059829; 1.061167; 1.061303; 1.060682; 1.060537; 1.061166; 1.059973; 1.057925; 1.058266; 1.059279; 1.060894; 1.063703; 1.065889; 1.066269; 1.064413; 1.061940; 1.060111; 1.059774; 1.060176; 1.059861; 1.058435; 1.058746; 1.060587; 1.060049; 1.058693; 1.057586; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35970.6; 11:58:32; (); (); (); (); (); (); (); 1.024238; 1.026066; 1.028765; 1.030513; 1.030392; 1.030762; 1.030999; 1.030584; 1.030931; 1.034827; 1.037416; 1.037798; 1.038436; 1.039928; 1.037619; 1.034889; 1.032356; 1.030805; 1.030158; 1.029387; 1.028829; 1.028543; 1.029585; 1.034480; 1.039653; 1.043364; 1.046067; 1.047983; 1.048526; 1.049174; 1.050913; 1.054756; 1.058864; 1.061114; 1.063676; 1.065827; 1.068358; 1.068683; 1.065662; 1.061594; 1.060334; 1.060263; 1.060054; 1.059214; 1.058714; 1.055447; 1.052416; 1.050668; 1.050621; 1.052140; 1.051953; 1.050635; 1.050390; 1.052156; 1.053485; 1.053111; 1.053010; 1.056223; 1.060068; 1.061990; 1.066336; 1.071544; 1.075270; 1.076119; 1.076101; 1.075508; 1.077479; 1.079646; 1.079786; 1.081480; 1.082935; 1.084206; 1.082684; 1.080878; 1.080430; 1.079427; 1.076593; 1.074955; 1.075747; 1.078102; 1.079120; 1.078536; 1.077091; 1.076969; 1.075982; 1.077225; 1.075840; 1.074525; 1.074545; 1.074951; 1.072786; 1.070540; 1.069595; 1.068043; 1.065685; 1.067762; 1.068449; 1.068131; 1.067167; 1.065294; 1.064021; 1.064763; 1.064804; 1.063826; 1.062620; 1.063785; 1.066159; 1.069042; 1.069731; 1.068823; 1.067693; 1.065497; 1.065573; 1.066834; 1.068676; 1.067679; 1.066659; 1.069293; 1.070924; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35973.1; 11:58:40; (); (); (); (); (); (); (); 1.013548; 1.015650; 1.020256; 1.022932; 1.024204; 1.023974; 1.023692; 1.024401; 1.026647; 1.027915; 1.028565; 1.029105; 1.032973; 1.036703; 1.038317; 1.039047; 1.038527; 1.036056; 1.035189; 1.034120; 1.033866; 1.034267; 1.034808; 1.036280; 1.036486; 1.037242; 1.038374; 1.038488; 1.039636; 1.038817; 1.039233; 1.041300; 1.044300; 1.045859; 1.048614; 1.051736; 1.054546; 1.055988; 1.057515; 1.060726; 1.062532; 1.062844; 1.061367; 1.061535; 1.064842; 1.067533; 1.067199; 1.063898; 1.063135; 1.061606; 1.060004; 1.058477; 1.055472; 1.054744; 1.055419; 1.056408; 1.056665; 1.057862; 1.058481; 1.059050; 1.059777; 1.062502; 1.067250; 1.072469; 1.078638; 1.081638; 1.083564; 1.086163; 1.087132; 1.087349; 1.087196; 1.086642; 1.085965; 1.085868; 1.086843; 1.087836; 1.088479; 1.087554; 1.085117; 1.083352; 1.084496; 1.087247; 1.090115; 1.090009; 1.089290; 1.088357; 1.088282; 1.089602; 1.089494; 1.089554; 1.087790; 1.085313; 1.084818; 1.085140; 1.082510; 1.078396; 1.075624; 1.075217; 1.076244; 1.076931; 1.078795; 1.079808; 1.077517; 1.075090; 1.072459; 1.072018; 1.071526; 1.069641; 1.068467; 1.068867; 1.069676; 1.069728; 1.067072; 1.064863; 1.063925; 1.061703; 1.060708; 1.061300; 1.061432; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35975.6; 11:58:49; (); (); (); (); (); (); (); 0.997344; 0.997439; 0.997825; 0.997947; 0.999285; 1.000540; 1.001469; 1.002491; 1.003535; 1.003104; 1.000840; 0.999739; 0.999656; 1.000751; 1.000922; 0.999965; 0.998518; 0.996507; 0.995896; 0.995051; 0.994019; 0.993356; 0.992480; 0.993251; 0.995880; 0.998902; 0.999968; 1.001932; 1.005632; 1.008491; 1.010486; 1.012776; 1.015798; 1.019668; 1.023093; 1.025333; 1.027358; 1.028656; 1.029012; 1.029272; 1.030317; 1.031185; 1.030814; 1.028897; 1.026815; 1.026529; 1.028689; 1.029657; 1.027395; 1.025612; 1.025139; 1.025585; 1.028046; 1.029636; 1.029542; 1.028770; 1.028285; 1.029869; 1.033902; 1.038988; 1.043744; 1.045966; 1.047970; 1.052589; 1.056703; 1.058667; 1.058890; 1.057856; 1.060011; 1.063105; 1.065440; 1.067644; 1.069995; 1.070559; 1.068919; 1.067404; 1.067212; 1.065940; 1.064710; 1.065016; 1.066493; 1.069231; 1.072292; 1.072356; 1.070555; 1.069917; 1.070752; 1.071325; 1.070575; 1.072070; 1.072283; 1.070319; 1.072161; 1.072621; 1.072427; 1.070148; 1.067401; 1.066216; 1.065483; 1.065574; 1.066249; 1.066411; 1.064245; 1.063208; 1.062347; 1.061931; 1.062867; 1.060374; 1.060679; 1.060347; 1.059624; 1.059378; 1.058571; 1.058492; 1.058232; 1.057046; 1.056226; 1.057103; 1.061432; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
