Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-05; 08:38:29
File Name; D:\Mahlo\TR\180105083829FP 4576_570 GSM0_FMI2.txt

1116.4; 08:39:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 460.452050; 459.963620; 459.196001; 457.914770; 456.565320; 455.426157; 454.242796; 452.952832; 451.655060; 450.342894; 449.307919; 448.111176; 446.774513; 445.729405; 445.125371; 444.736779; 444.434643; 444.687456; 445.813954; 446.966439; 448.075056; 449.904352; 452.122062; 453.422546; 453.856587; 453.996658; 454.399735; 454.754055; 454.900742; 455.185801; 455.269486; 455.481321; 455.874413; 456.225157; 456.354380; 456.499934; 456.037432; 455.349445; 455.519617; 456.334949; 456.946224; 457.451820; 457.554340; 457.011312; 456.262320; 455.755323; 455.121070; 453.994542; 453.051418; 452.588886; 452.006310; 451.568991; 451.529175; 450.674713; 449.679464; 448.953539; 447.842717; 447.199583; 447.223336; 447.123736; 446.929395; 446.805835; 446.972132; 446.902722; 446.263999; 445.663422; 445.137799; 444.825768; 444.860637; 444.707215; 444.204509; 443.765938; 443.322659; 442.977607; 442.783952; 442.493379; 442.432314; 442.245007; 442.023575; 442.185551; 442.485303; 442.552298; 442.747653; 442.721009; 442.606121; 442.683190; 443.184286; 443.757564; 444.123834; 444.591254; 444.759578; 444.524914; 444.213003; 444.084406; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1118.4; 08:39:11; (); (); (); (); (); (); 437.300920; 436.710030; 436.657310; 436.643362; 437.139660; 437.706262; 438.224107; 439.445555; 441.245943; 441.922843; 442.044467; 442.263395; 442.387164; 442.255139; 443.758309; 445.340604; 446.531206; 448.116690; 448.861778; 448.576868; 448.364317; 448.397547; 448.195219; 447.745293; 447.191358; 446.838021; 446.563363; 447.014302; 447.676122; 447.732627; 447.664022; 447.420686; 447.257459; 447.578341; 448.270738; 448.440909; 448.711902; 449.181676; 449.936181; 451.041967; 452.171147; 452.290028; 451.297909; 450.219721; 449.879855; 449.663162; 449.568927; 449.239671; 448.906988; 449.068397; 449.096769; 448.528886; 447.563589; 446.508974; 445.796400; 445.169955; 445.145875; 446.242034; 446.957707; 446.513861; 445.824713; 445.460737; 445.616245; 445.964426; 446.310729; 446.831793; 448.031634; 449.714929; 450.998306; 451.973796; 453.041613; 453.455985; 453.417122; 454.172015; 455.074370; 455.768287; 456.137955; 456.467181; 456.584811; 456.420988; 456.641555; 457.396716; 458.055705; 458.115369; 458.011925; 458.076417; 458.401442; 458.282381; 458.015621; 458.007336; 458.164781; 457.958937; 457.489341; 457.210153; 457.063138; 456.434220; 455.129951; 454.329938; 454.294354; 454.111040; 453.667074; 453.151554; 452.760220; 452.501386; 452.323735; 452.307642; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1120.0; 08:39:20; (); (); (); (); (); (); 439.130068; 439.134926; 438.995928; 439.471066; 440.500677; 441.464126; 442.272455; 443.149567; 444.219649; 444.936723; 445.785105; 447.317213; 448.417723; 449.565440; 449.998915; 449.973077; 450.814962; 451.686472; 451.508194; 451.245457; 451.334178; 451.263726; 450.624108; 449.960411; 449.766278; 449.563682; 448.342949; 446.901172; 445.608199; 444.679886; 443.752676; 443.187535; 442.940325; 443.244338; 443.058670; 442.102164; 441.466480; 441.217929; 440.870613; 440.402955; 440.508485; 440.970719; 441.236973; 441.533238; 441.914290; 442.073882; 441.819102; 441.863447; 441.694260; 441.759259; 442.273974; 442.598253; 442.925811; 443.803310; 444.143564; 443.838745; 443.399996; 443.383902; 444.006503; 444.582790; 444.661230; 444.529682; 444.083661; 443.415403; 443.000346; 442.796052; 443.201035; 443.377882; 443.545312; 444.172978; 444.540352; 444.742501; 444.908798; 444.649488; 444.060206; 443.952352; 444.023103; 444.396824; 444.786221; 444.260478; 442.956358; 441.869736; 441.198021; 440.206081; 439.581037; 439.466894; 439.353079; 438.712865; 438.182503; 437.851518; 437.027395; 435.826629; 435.056180; 434.856534; 435.412914; 436.362833; 437.286943; 437.762201; 438.455582; 439.343750; 439.863563; 440.172344; 440.857410; 442.113817; 443.608344; 445.004821; 446.219355; 447.562724; 448.720992; 449.578315; 450.341523; 450.749785; 450.882375; 450.809658; 450.737298; 451.144755; 451.973438; 452.657074; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1121.6; 08:39:29; (); (); (); (); (); (); 438.478678; 438.325405; 438.270211; 437.424421; 437.157691; 436.999172; 436.426461; 435.815096; 435.022205; 434.528291; 434.996605; 435.755253; 436.770320; 438.110769; 438.952059; 439.396769; 439.502805; 439.651996; 439.497501; 439.340264; 439.953417; 440.638810; 441.034615; 441.135079; 441.345990; 441.846460; 442.088068; 442.061782; 440.937519; 440.348476; 440.065831; 439.680099; 439.872682; 440.269172; 439.915091; 439.108014; 438.448310; 438.005745; 437.093943; 436.457425; 435.402155; 433.770597; 432.819396; 432.823271; 432.791144; 432.659894; 433.306962; 434.114367; 434.575468; 434.767216; 435.398638; 435.549736; 435.234725; 435.013384; 434.902191; 435.146987; 435.747117; 436.013460; 436.611295; 437.205911; 437.430531; 437.178701; 437.002897; 436.913073; 436.826587; 437.164873; 438.342541; 440.121830; 441.692680; 442.498475; 443.071067; 443.335295; 443.651676; 443.499714; 443.786949; 444.378257; 444.592565; 444.917291; 445.771873; 446.404785; 446.666241; 446.658611; 446.202189; 445.839196; 445.193380; 444.553912; 444.645524; 444.932878; 444.907397; 444.795281; 444.726795; 444.743305; 445.374995; 445.840299; 445.785850; 445.421308; 445.362896; 445.795178; 446.270704; 446.854562; 446.827084; 446.534246; 446.696609; 447.724700; 448.529989; 449.394464; 449.799091; 449.398667; 449.894667; 450.499922; 450.472742; 450.591475; 450.665802; 450.819194; 451.709211; 452.698618; 453.854859; 453.842044; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1123.2; 08:39:37; (); (); (); (); (); (); 443.012774; 442.585111; 442.237139; 442.045063; 441.594064; 441.362679; 441.673338; 442.205489; 442.493856; 442.845136; 443.309963; 443.763405; 443.983495; 443.552941; 443.456262; 444.084972; 444.212496; 443.963438; 443.955213; 444.000691; 444.012582; 443.464637; 442.420095; 441.655815; 440.560251; 439.222783; 438.103288; 437.129587; 436.123461; 435.533285; 435.184121; 435.690641; 435.975820; 435.704112; 435.552835; 435.569018; 435.401082; 435.569823; 435.995042; 436.359882; 436.483443; 436.592340; 437.073022; 437.888145; 438.253433; 438.161135; 438.000470; 438.268095; 438.564539; 438.775241; 439.223230; 439.999253; 440.108478; 439.920604; 440.380156; 441.415310; 442.192286; 442.812294; 443.102092; 443.308651; 443.356454; 443.679303; 444.097579; 444.499165; 444.805980; 445.140243; 445.763111; 446.838468; 448.162764; 449.083984; 449.468404; 449.569345; 449.913055; 450.736910; 451.791644; 452.833652; 453.871906; 454.770714; 455.931842; 456.433177; 456.299186; 456.027448; 455.882043; 455.266953; 454.766393; 454.622597; 455.121368; 455.888063; 456.022561; 456.122339; 455.688059; 454.594791; 453.989863; 453.288853; 452.518970; 451.912761; 451.573670; 451.057851; 450.614125; 450.229615; 450.030953; 449.375093; 448.740214; 448.974580; 449.443817; 450.481355; 451.613307; 452.044010; 452.395886; 453.213215; 453.926742; 453.986317; 454.676598; 455.552608; 456.262887; 457.071006; 457.814872; 457.654536; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1124.8; 08:39:46; (); (); (); (); (); (); 448.736370; 447.918981; 446.533620; 447.024763; 447.639078; 447.595090; 447.534829; 447.994769; 448.101848; 448.051035; 447.814167; 447.959155; 448.222220; 447.779387; 447.481871; 447.591573; 447.714895; 447.479427; 446.082860; 445.351332; 445.371926; 445.094496; 444.621354; 444.366395; 443.909675; 443.339854; 442.774385; 442.342401; 441.670060; 440.675586; 439.801127; 439.031899; 438.434809; 437.954575; 436.896384; 436.212689; 436.168551; 436.176032; 436.286062; 436.689854; 437.034100; 437.123895; 436.704069; 437.175483; 437.967420; 438.566357; 439.474761; 440.177500; 441.033363; 441.810936; 441.888630; 441.289127; 441.157430; 440.902412; 440.204501; 439.686835; 439.239711; 438.868493; 438.236266; 438.403368; 438.892722; 438.659996; 438.475430; 438.685894; 438.375324; 438.379318; 438.791245; 439.070702; 439.225644; 439.321756; 439.425915; 439.467072; 439.537466; 439.335763; 438.903034; 438.477159; 438.410550; 438.492984; 438.314706; 438.796252; 439.493209; 439.052969; 438.663840; 438.670993; 438.745320; 438.595474; 438.968241; 439.247012; 439.083755; 438.871264; 439.266264; 439.486742; 440.084666; 440.484285; 439.837486; 439.403325; 440.351635; 441.057146; 441.613317; 442.547947; 443.123877; 443.142623; 443.341523; 444.061190; 444.812894; 445.105702; 445.704460; 446.029842; 447.130471; 448.463768; 448.700607; 448.453456; 448.476374; 448.510110; 448.511094; 449.079275; 450.106442; 451.240838; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1126.4; 08:39:55; (); (); (); (); (); (); 441.227406; 440.738499; 440.038592; 440.412551; 440.965861; 441.293836; 441.103905; 441.278815; 441.997081; 442.479640; 442.568988; 442.718118; 443.324238; 443.955779; 444.383502; 445.030987; 446.135223; 446.933657; 447.067648; 447.018743; 447.565824; 448.063672; 448.261380; 448.211372; 448.236406; 448.370337; 448.623359; 449.138075; 449.704498; 450.204134; 450.098187; 450.020194; 449.949801; 450.159043; 450.890303; 451.594979; 451.845974; 452.343225; 452.821493; 452.980995; 452.768564; 452.045947; 451.299220; 450.370938; 449.548215; 449.482918; 449.539512; 449.558914; 449.087858; 447.971731; 447.748035; 447.581798; 447.051376; 446.702361; 446.564317; 446.715087; 446.765810; 446.661949; 446.779341; 446.340263; 445.904523; 445.913970; 445.879668; 445.998728; 446.181625; 446.076900; 446.088612; 445.986420; 445.934445; 445.524812; 445.342392; 445.148081; 444.931567; 445.486575; 446.185857; 446.303248; 446.161568; 446.666956; 447.316676; 447.724462; 448.211044; 448.594451; 449.030161; 449.640840; 450.080901; 450.009286; 449.804783; 449.278533; 449.095488; 449.345976; 449.492216; 449.399620; 448.787957; 448.174208; 447.853595; 447.259486; 446.996540; 446.449071; 446.213514; 446.402699; 446.652889; 447.174788; 447.233170; 446.094871; 444.829702; 444.317043; 444.050521; 443.807840; 443.664581; 443.406671; 443.132043; 442.887813; 442.909062; 442.681044; 442.193538; 441.705763; 441.477150; 442.110121; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1128.0; 08:40:03; (); (); (); (); (); (); 450.190544; 450.338781; 449.784249; 449.529469; 449.231893; 448.615402; 448.419213; 448.533595; 448.065221; 447.571099; 447.331846; 447.121829; 446.373671; 445.129931; 444.650620; 444.246531; 443.783820; 443.062216; 441.667050; 440.456659; 439.922065; 439.632088; 439.488977; 439.351022; 439.174205; 438.503504; 437.360138; 436.451554; 435.544461; 435.241610; 435.120940; 435.212612; 435.881585; 436.689645; 437.465489; 437.780738; 437.760085; 438.088179; 438.892454; 439.726621; 440.831691; 442.092478; 443.283826; 443.909168; 443.995267; 444.543034; 445.261776; 445.953608; 446.787030; 447.413445; 447.383165; 447.195858; 446.928680; 446.759909; 446.312040; 445.665598; 445.346296; 445.132792; 445.133924; 445.567578; 445.508868; 445.358187; 445.102215; 444.493055; 444.259971; 444.664061; 445.026100; 445.465088; 445.691466; 445.949823; 446.121544; 446.350425; 446.047574; 445.084304; 443.984151; 443.611652; 443.162411; 442.684710; 442.666084; 442.539364; 442.109525; 441.985965; 441.992223; 442.379475; 442.948997; 442.905098; 442.758441; 443.166316; 444.035500; 445.171416; 446.108341; 446.792483; 447.516173; 447.935313; 448.509842; 449.240535; 449.831188; 450.458854; 450.972587; 451.896161; 453.067780; 453.883469; 454.273641; 454.575062; 454.352885; 454.536408; 455.419749; 455.754846; 455.997765; 456.199974; 456.503153; 456.634313; 456.370026; 456.084430; 455.540687; 455.231428; 455.347598; 455.675632; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1129.6; 08:40:12; (); (); (); (); (); (); 441.868007; 441.924095; 441.653639; 442.030102; 442.695498; 443.232507; 444.115043; 444.820285; 445.718110; 446.697235; 447.576731; 447.854698; 447.419018; 447.277755; 446.911186; 446.637332; 446.837991; 447.527885; 447.770804; 447.635353; 447.362721; 447.100282; 446.867645; 446.485668; 445.620060; 444.914877; 444.686711; 444.919854; 444.899052; 445.432127; 445.786178; 445.398569; 444.464982; 443.721205; 443.024248; 442.558348; 442.319602; 442.070216; 442.145228; 442.477643; 442.335069; 441.952854; 441.753775; 441.871881; 442.004263; 441.949606; 442.332506; 442.803144; 443.283767; 443.968654; 444.352627; 444.526732; 444.322467; 443.645537; 443.489879; 444.098473; 445.131302; 445.868552; 445.873320; 445.958674; 446.296930; 446.370900; 446.495175; 446.559966; 446.423978; 445.862412; 445.594698; 446.599185; 447.308928; 447.985560; 448.414326; 448.268771; 448.192626; 448.186606; 447.850972; 448.215872; 448.698103; 449.057281; 449.493915; 449.754000; 450.378090; 450.720906; 450.951129; 451.319933; 451.350600; 451.666594; 452.360630; 453.504771; 454.631507; 455.698997; 456.104815; 457.184762; 458.473891; 459.373564; 460.437030; 460.863918; 461.128622; 461.059421; 461.457968; 461.870670; 462.039739; 461.513132; 460.891366; 460.170746; 459.679335; 459.793299; 459.590256; 458.972275; 458.465338; 458.485484; 458.900541; 458.647698; 458.628356; 458.355397; 458.016276; 458.356619; 459.330082; 460.526705; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1131.2; 08:40:21; (); (); (); (); (); (); 430.831492; 431.468695; 431.518525; 431.137115; 431.191057; 431.344002; 431.351870; 431.766599; 431.617260; 431.482017; 432.428509; 433.417201; 433.913112; 434.528500; 435.237527; 435.450643; 435.536116; 436.616957; 437.282979; 437.147409; 437.144190; 437.453896; 437.873095; 438.934296; 439.485043; 439.401984; 439.688474; 439.700603; 439.308375; 439.200252; 439.648777; 440.518945; 440.391481; 440.674216; 441.576689; 442.223251; 442.779064; 443.626732; 444.080085; 444.241345; 444.407791; 443.823278; 443.820357; 444.003373; 444.021463; 443.773031; 443.170607; 443.390518; 443.475425; 443.573505; 443.992019; 443.671793; 442.896545; 442.316234; 441.688538; 441.317797; 441.532582; 441.838413; 441.623718; 441.611946; 441.945821; 442.433268; 442.728579; 442.982078; 442.916721; 442.469627; 442.092896; 442.040861; 442.351669; 442.865074; 443.568081; 443.913579; 444.089621; 444.266379; 444.451094; 444.134921; 443.438590; 443.243474; 443.581939; 444.045871; 444.574922; 445.486695; 446.361721; 446.958661; 447.682649; 447.888315; 447.629243; 447.982192; 448.954612; 449.974746; 450.965017; 451.726437; 451.526821; 450.879991; 450.964719; 451.632947; 451.845944; 452.112436; 452.334136; 451.953977; 451.781243; 451.981515; 452.035367; 451.787651; 451.399505; 451.036572; 450.556099; 450.411141; 450.439006; 450.776607; 450.749993; 450.664908; 450.450391; 450.157970; 450.133026; 450.290382; 450.337589; 449.646235; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1132.8; 08:40:30; (); (); (); (); (); (); 423.912615; 423.881531; 424.663424; 425.371259; 426.006258; 427.459449; 429.050386; 430.404246; 431.611657; 432.179302; 432.349771; 433.139175; 433.963120; 434.610367; 435.711265; 436.988264; 438.198864; 438.558936; 438.930184; 438.858420; 437.776476; 436.520338; 435.528696; 434.987575; 435.383677; 436.346680; 437.549174; 438.745677; 439.866304; 440.434068; 440.503508; 440.743029; 441.296369; 441.513985; 442.205042; 443.128109; 444.181204; 445.095778; 445.837289; 446.823776; 447.038233; 447.091877; 447.282284; 447.201163; 447.205812; 447.689891; 448.686153; 449.293494; 450.055480; 450.743675; 451.221943; 451.420665; 451.161027; 450.682104; 449.573725; 449.398577; 449.940056; 450.481057; 450.489014; 450.364590; 449.776888; 449.053109; 448.859215; 448.587030; 448.066562; 447.611541; 447.353244; 447.586179; 447.560817; 447.023630; 446.521908; 444.838077; 443.592042; 443.395942; 443.228960; 442.997903; 442.345172; 442.114830; 442.334205; 442.401737; 441.656888; 441.125244; 440.972000; 441.265404; 441.659421; 441.227943; 441.331983; 441.369414; 441.322207; 441.196352; 441.474974; 442.072719; 442.304224; 442.714334; 443.075776; 443.291396; 442.744344; 442.266285; 442.286640; 442.938268; 443.994820; 444.532007; 445.242971; 445.575327; 445.181578; 444.343656; 443.434745; 442.752659; 441.517055; 440.483212; 440.011382; 439.879686; 439.767271; 439.342469; 438.476771; 437.568873; 435.885757; 434.220642; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
