Roll Number; 0
Recipe Name; FP 4548_513 GSM
Start Time; 2017-11-07; 08:41:56
File Name; D:\Mahlo\TR\171107084156FP 4548_513 GSM0_FMI2.txt

1776.4; 08:42:08; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 131.302968; 131.531924; 131.135017; 130.583599; 130.665928; 130.731374; 130.542874; 130.402967; 130.516797; 130.494118; 130.521804; 130.409881; 130.198300; 130.545899; 130.600616; 130.432680; 130.565658; 131.139398; 131.627381; 132.086083; 132.391825; 132.749483; 133.099243; 133.206949; 133.459121; 133.459494; 133.470461; 133.725047; 133.640498; 133.564100; 133.808583; 134.082228; 134.088784; 133.607537; 133.469403; 133.417398; 133.524284; 133.559883; 133.502334; 133.299902; 133.075044; 132.613257; 132.409498; 132.848993; 133.029655; 132.626712; 132.414341; 132.178530; 132.213429; 132.426620; 132.619128; 132.366627; 132.105723; 132.278204; 132.261023; 132.424206; 132.729709; 132.483453; 132.037759; 131.734893; 131.315187; 130.800933; 130.562112; 129.940614; 129.392490; 129.010901; 129.012004; 129.101723; 129.102632; 129.149109; 129.396141; 129.477084; 129.731238; 129.847825; 129.761592; 129.910976; 130.099177; 130.380780; 130.570069; 130.783185; 130.913332; 131.020308; 131.008655; 130.994558; 130.844951; 130.696282; 130.449161; 129.992038; 129.644305; 129.767835; 129.949734; 130.075976; 130.090654; 130.087078; 129.847348; 129.874825; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1782.8; 08:42:17; (); (); (); (); (); (); (); (); (); (); 129.326239; 128.984764; 129.591778; 129.790872; 129.831895; 129.876345; 130.158514; 130.644321; 130.623683; 130.846322; 131.263658; 131.260112; 131.329224; 131.337643; 131.145909; 131.220952; 131.223589; 131.137669; 131.261468; 131.247655; 131.177038; 130.998477; 130.697891; 131.003261; 130.923837; 130.468845; 130.495176; 130.416110; 130.390078; 130.497694; 130.706653; 130.718887; 130.644411; 130.718723; 131.081343; 131.344214; 131.387144; 131.790578; 131.528333; 131.673276; 131.846771; 131.779030; 132.008761; 132.035017; 132.124752; 132.286340; 132.375702; 131.925985; 131.686106; 131.421924; 131.344020; 131.184146; 130.793989; 130.547062; 130.124152; 129.909799; 129.755244; 129.642218; 129.938051; 130.248025; 130.541727; 131.021380; 132.153168; 132.664055; 132.587835; 132.575348; 132.609114; 132.450134; 132.384911; 132.473290; 132.410377; 132.595211; 132.461950; 132.359087; 131.802678; 131.459653; 131.017089; 130.470097; 130.351037; 130.150571; 129.981294; 129.849523; 129.965395; 130.248666; 130.587056; 130.670667; 130.634055; 130.695120; 130.526617; 130.524978; 130.030543; 129.635081; 129.000053; 128.515244; 128.959507; 129.014924; 128.964990; 129.013628; 128.672928; 128.372684; 128.271833; 128.048539; 127.870321; 127.864197; 127.794892; 127.762467; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1787.8; 08:42:25; (); (); (); (); (); (); (); (); (); (); 127.287164; 127.604127; 128.095776; 128.696933; 128.944486; 128.870219; 128.909186; 128.806025; 128.880158; 129.016146; 128.765002; 128.581524; 128.852665; 129.088879; 129.092723; 128.962621; 129.036874; 128.834501; 128.437787; 128.431767; 128.660202; 129.076317; 129.894853; 130.311579; 130.588755; 131.003022; 131.443739; 131.513253; 131.824046; 132.237032; 132.388368; 132.165596; 132.020295; 131.975204; 131.975621; 132.032901; 131.627247; 131.277800; 131.430835; 131.246239; 130.955234; 131.169274; 131.287098; 130.856290; 130.947843; 130.886182; 130.845264; 131.088585; 131.082088; 131.012872; 130.995616; 130.883366; 130.793795; 130.689129; 130.687416; 130.851045; 130.693153; 130.695045; 130.920440; 130.599469; 130.504012; 130.695343; 130.949870; 131.371632; 131.123766; 131.327957; 131.383136; 131.015360; 130.735546; 130.490243; 130.492508; 130.525216; 130.297944; 129.964218; 130.030826; 129.918814; 129.774138; 129.364878; 129.083857; 129.099265; 128.864497; 128.936321; 129.299641; 129.500911; 129.703343; 129.725039; 130.100876; 130.200356; 130.228370; 130.358502; 130.632415; 130.379498; 130.572677; 130.368948; 130.355299; 130.095184; 129.746482; 129.357502; 129.216835; 128.909037; 128.091007; 127.543777; 127.877578; 128.086284; 127.986193; 128.116265; 128.419772; 128.332898; 128.578022; 128.795654; 129.027039; 129.292503; 129.533380; 129.705474; 130.295098; 131.081611; 130.953655; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1792.8; 08:42:34; (); (); (); (); (); (); (); (); (); (); 126.321271; 126.158074; 126.423508; 126.790196; 127.160504; 127.493918; 127.707213; 128.077015; 128.478035; 128.850073; 129.085749; 129.139423; 129.543692; 129.631177; 129.843235; 130.150035; 130.626827; 130.780295; 130.725130; 130.705506; 130.757302; 130.816489; 130.543947; 130.794823; 130.991161; 131.196484; 131.590277; 131.615296; 131.648183; 131.609291; 131.659523; 131.486848; 131.517991; 131.478712; 131.462842; 131.432503; 131.393746; 131.471470; 131.459817; 131.501958; 131.559044; 131.151795; 130.696714; 130.428582; 130.528808; 130.372062; 130.170703; 130.196452; 130.327597; 130.540341; 130.872011; 131.213605; 131.504297; 131.672293; 132.039040; 132.141277; 132.466882; 132.914826; 133.285373; 133.753985; 134.407356; 135.068521; 135.364994; 135.251522; 135.112852; 135.103136; 135.099947; 135.050178; 134.744570; 134.362996; 134.265780; 134.189159; 133.944258; 133.653790; 133.226559; 132.840320; 132.227123; 131.679654; 131.765842; 131.364807; 130.765840; 130.048797; 129.768848; 129.748732; 130.088955; 130.286232; 130.553931; 130.743623; 130.872384; 130.793437; 130.709127; 131.068125; 131.158859; 131.263405; 131.569505; 131.598130; 131.876215; 131.959826; 131.938949; 131.530866; 131.084725; 130.845830; 130.455568; 129.870281; 129.569829; 129.299596; 129.137263; 129.253522; 129.284948; 129.459053; 129.599422; 129.424691; 129.240200; 128.964514; 128.984913; 129.103780; 129.135922; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1797.8; 08:42:43; (); (); (); (); (); (); (); (); (); (); 129.912093; 130.157560; 130.140945; 129.981264; 129.884258; 129.809529; 129.730314; 129.976556; 130.694613; 130.901158; 130.736023; 130.610436; 130.813777; 130.982175; 130.910203; 130.784184; 130.808383; 131.025150; 131.219953; 131.317824; 131.609172; 131.957754; 131.844759; 131.208271; 131.355584; 131.524697; 131.625324; 131.755918; 131.848648; 131.854415; 131.710470; 131.539389; 131.577387; 131.880432; 131.926283; 131.788895; 131.771892; 131.660461; 131.494403; 130.899712; 130.739570; 130.603820; 130.010098; 129.872590; 129.921168; 129.962564; 130.000040; 129.501760; 129.264489; 129.471138; 129.463613; 129.135802; 129.333496; 129.825056; 130.212292; 130.193636; 130.430654; 131.011799; 131.360933; 131.287605; 131.131217; 131.048486; 131.446332; 131.305635; 131.234258; 131.246746; 131.536514; 131.239772; 131.015420; 130.821481; 130.781278; 130.514324; 130.083069; 129.757151; 129.861429; 129.868940; 130.052328; 129.930004; 129.778013; 129.466772; 129.222080; 129.125088; 129.415318; 129.411563; 129.443392; 129.215226; 129.114985; 129.308939; 129.484266; 129.777044; 130.002320; 129.995748; 130.048931; 130.044729; 130.132049; 129.859388; 129.724711; 129.419312; 129.138678; 129.229590; 129.306510; 129.077628; 128.602758; 128.431171; 128.352806; 128.213570; 128.140390; 128.267258; 128.285959; 128.313616; 128.502861; 128.446311; 128.668860; 128.847152; 128.803775; 129.315138; 129.948512; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1802.8; 08:42:51; (); (); (); (); (); (); (); (); (); (); 129.080117; 129.216924; 129.504368; 129.195988; 129.354224; 129.372463; 129.347861; 129.427373; 129.430965; 129.821956; 130.135834; 130.582735; 131.317139; 131.810099; 131.907880; 131.979063; 131.758213; 132.049963; 132.771060; 133.050919; 133.675218; 133.997113; 134.240896; 134.259880; 134.161100; 134.061098; 133.642584; 133.708134; 133.709654; 133.984759; 134.640291; 134.865671; 134.408236; 134.298548; 134.360403; 134.242460; 134.481251; 135.069981; 135.495737; 135.454893; 135.585397; 135.508448; 135.009408; 134.796485; 134.394720; 133.967370; 134.070352; 134.148315; 134.107843; 133.922324; 133.838162; 133.564547; 133.204177; 133.054346; 133.055776; 133.095592; 132.971674; 132.905006; 132.802606; 132.437512; 132.219434; 132.022321; 131.976783; 131.932870; 131.489396; 131.165326; 131.146759; 131.059572; 131.005287; 130.791292; 130.959034; 131.300971; 131.318703; 131.569326; 132.052779; 132.558838; 132.764548; 132.871136; 132.897139; 133.076474; 132.896006; 132.325143; 132.043317; 131.987169; 131.737739; 131.293312; 130.909681; 130.699590; 130.443603; 129.705101; 129.089296; 128.648832; 128.320098; 128.004044; 127.823472; 127.873436; 127.702057; 127.487183; 126.998320; 126.630813; 126.338616; 126.148462; 125.685632; 125.471294; 125.566497; 125.613913; 125.553399; 125.479653; 125.514612; 125.662416; 125.665754; 125.608623; 125.493422; 125.599459; 125.793323; 125.892147; 126.175612; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1807.8; 08:43:00; (); (); (); (); (); (); (); (); (); (); 127.843857; 127.726525; 127.783224; 128.082797; 128.372058; 128.762886; 128.937274; 129.210725; 129.506364; 129.763931; 130.262539; 130.756646; 131.679356; 132.090464; 132.527947; 133.291110; 133.698553; 134.157777; 134.302512; 134.048954; 134.077549; 134.009138; 134.127647; 134.060130; 134.106725; 133.985445; 133.782387; 133.207023; 133.069813; 132.571355; 132.444933; 132.544190; 132.392064; 132.192507; 132.280886; 132.345393; 132.363543; 132.336333; 132.247612; 132.252783; 132.020831; 132.112801; 132.332474; 132.735685; 132.976443; 132.773191; 132.480651; 132.098839; 132.315114; 132.563427; 132.502705; 132.513702; 132.607564; 132.887557; 132.981360; 132.915109; 132.337391; 131.492391; 131.100252; 130.858213; 130.671889; 130.707368; 130.980700; 130.544946; 130.093023; 129.759520; 129.312232; 128.919333; 128.377125; 128.136337; 128.117099; 128.509223; 128.865317; 128.891453; 128.987104; 129.184827; 129.130229; 129.322991; 129.749626; 129.763305; 129.975826; 130.112559; 130.177915; 130.245030; 130.126223; 130.189300; 130.333871; 130.134776; 130.209640; 130.260691; 130.052552; 129.847854; 129.499838; 129.137158; 129.081428; 129.122317; 128.869966; 128.470227; 128.358871; 128.287122; 128.197759; 127.920195; 127.804741; 127.285019; 127.099901; 127.029002; 127.022907; 127.138764; 127.307236; 127.520338; 127.515405; 127.645895; 127.950028; 127.995551; 128.018990; 127.978548; 126.175612; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1812.8; 08:43:08; (); (); (); (); (); (); (); (); (); (); 129.468873; 129.120454; 128.910318; 129.062474; 128.993854; 129.036278; 129.018053; 128.919795; 128.582448; 128.424883; 128.527224; 128.551364; 128.807858; 129.143149; 129.273176; 129.337251; 129.335999; 129.333422; 129.148826; 129.402354; 130.004033; 130.410820; 130.605251; 130.705670; 130.887702; 130.975112; 130.886242; 130.742684; 130.550459; 130.546302; 130.498767; 130.725309; 131.083459; 131.105050; 131.046876; 130.966157; 130.686298; 130.653471; 130.970642; 131.120324; 131.264880; 131.365329; 131.614819; 131.687254; 132.015526; 132.444590; 132.166281; 132.148430; 132.190719; 131.898388; 131.359190; 131.317452; 131.256044; 131.148204; 130.712494; 130.500317; 130.055904; 129.810825; 129.451245; 129.127666; 128.705263; 128.899753; 128.787145; 128.396273; 128.285095; 128.610685; 128.750190; 128.753290; 128.841162; 129.007891; 129.163519; 129.576087; 129.893154; 129.956335; 130.311713; 130.605161; 130.817950; 131.392315; 132.212982; 132.743925; 132.869855; 132.871255; 132.979184; 132.962868; 132.929012; 132.627442; 132.133067; 131.867185; 131.614000; 131.459370; 131.268322; 130.900458; 130.640030; 130.199209; 129.704490; 129.532918; 129.339248; 129.135385; 129.077435; 128.891125; 128.856361; 128.788844; 128.158063; 127.904147; 127.587825; 127.263010; 127.072647; 126.736894; 126.488134; 126.190692; 125.919521; 125.710666; 125.467062; 125.270367; 125.148728; 124.879025; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1817.8; 08:43:17; (); (); (); (); (); (); (); (); (); (); 127.875417; 127.655968; 127.865285; 128.347412; 128.537923; 128.730550; 128.429905; 128.233358; 128.170684; 128.107741; 127.927333; 128.147259; 128.172398; 128.293157; 128.762797; 129.084870; 129.277468; 129.100367; 129.039153; 129.046112; 129.160285; 129.827902; 130.192339; 130.669251; 130.910322; 131.476969; 131.471291; 131.449997; 131.744102; 131.753400; 131.659225; 131.435856; 131.494224; 131.269231; 131.046608; 131.025314; 130.859256; 130.651116; 130.380288; 130.326912; 130.387157; 130.474254; 130.409926; 130.448520; 131.037951; 131.609321; 132.015079; 132.060617; 132.399186; 132.647261; 132.785276; 132.951841; 132.927224; 132.662863; 132.394016; 132.141486; 132.352009; 132.601276; 132.600218; 132.464662; 131.991088; 131.966040; 132.098407; 132.219300; 132.184029; 132.114112; 131.984800; 132.179841; 132.353321; 132.641867; 132.639289; 132.387280; 132.194147; 131.829664; 131.098390; 130.745053; 130.499125; 130.339146; 130.062059; 129.850477; 129.515469; 129.448935; 129.255652; 128.612995; 128.123045; 128.053173; 128.003448; 127.876535; 127.806857; 128.159314; 128.567979; 128.820285; 128.685936; 128.751874; 128.788993; 128.848001; 128.646687; 128.603712; 128.828600; 129.015088; 128.908888; 128.901601; 128.923267; 129.000530; 128.992260; 128.652126; 128.245056; 128.401428; 128.568664; 128.647909; 128.876045; 129.006341; 129.139423; 129.216552; 129.258782; 129.413769; 129.425704; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1822.8; 08:43:26; (); (); (); (); (); (); (); (); (); (); 128.907576; 128.978521; 129.025891; 129.183605; 129.154950; 129.131019; 129.356697; 129.829958; 130.264595; 130.500093; 130.829260; 131.150648; 131.201327; 131.196856; 130.917817; 130.535096; 130.365729; 130.248547; 130.241781; 130.238891; 130.366459; 130.320042; 130.252793; 130.163714; 129.986957; 129.956782; 130.157113; 129.795998; 129.403025; 129.556298; 129.593268; 129.942685; 130.217195; 130.484611; 130.549967; 130.303532; 130.406320; 130.612716; 130.606890; 130.798474; 130.609185; 130.536556; 130.829126; 130.887195; 130.931824; 131.360367; 131.335333; 131.071508; 130.931035; 131.091624; 131.017804; 130.814031; 130.511612; 130.549967; 130.131260; 130.144849; 130.527213; 130.678862; 130.825341; 131.057471; 130.968004; 131.345913; 131.718785; 131.998196; 132.376984; 132.920742; 133.544296; 134.093538; 134.267643; 134.493902; 134.459332; 134.238482; 134.445503; 134.737074; 134.811655; 134.691641; 134.545371; 134.588555; 134.607032; 134.429589; 134.225532; 133.780688; 133.506015; 133.362561; 133.607686; 133.649454; 133.399308; 133.489013; 133.229807; 133.277997; 132.931978; 132.406861; 131.552070; 130.789980; 130.521923; 130.160719; 130.201191; 129.941508; 129.903153; 129.496008; 129.361302; 129.431531; 129.167661; 129.068241; 128.923982; 129.071698; 129.294977; 129.812539; 130.144969; 130.201489; 130.229130; 129.996300; 130.275086; 130.137756; 130.299389; 130.327404; 129.425704; (); (); (); (); (); (); (); (); (); (); (); (); (); 
1827.8; 08:43:34; (); (); (); (); (); (); (); (); (); (); 128.895983; 129.208371; 129.107594; 128.980264; 129.218742; 129.486412; 129.552618; 129.618123; 129.405662; 129.362851; 129.476473; 129.665777; 129.774258; 129.860908; 129.742563; 129.616365; 129.622906; 129.875079; 129.886329; 129.876956; 129.619345; 129.653692; 129.345447; 129.266441; 129.323438; 129.170224; 128.869236; 128.657863; 128.658399; 128.754944; 128.605127; 128.734112; 128.957406; 129.410863; 129.554704; 129.638255; 129.761234; 130.133316; 130.336136; 130.196393; 130.142421; 130.134597; 130.339146; 130.379006; 130.523920; 130.484805; 130.045444; 129.825443; 129.542977; 129.197061; 129.264146; 129.134804; 128.815159; 128.839806; 129.010096; 129.080459; 129.149005; 129.652053; 129.858315; 130.060345; 130.647168; 131.147742; 131.082967; 131.137401; 131.437138; 131.491780; 131.817043; 132.066682; 131.928667; 132.098004; 132.400736; 132.638112; 132.261097; 131.941348; 131.691635; 131.209835; 130.992368; 130.963966; 130.739748; 130.611166; 130.461276; 130.172849; 130.280018; 130.403668; 130.204633; 130.020291; 129.781276; 129.516438; 129.654229; 129.643202; 129.353344; 129.431218; 129.584089; 129.607454; 129.582539; 129.431158; 129.324481; 128.963411; 128.350973; 128.047079; 127.971128; 128.115252; 128.507271; 128.944725; 128.879443; 128.849059; 128.674477; 128.608882; 128.688261; 128.649876; 128.712595; 128.746167; 129.078090; 129.724503; 130.140573; 130.328953; 130.249023; (); (); (); (); (); (); (); (); (); (); (); (); (); 
