Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:44:16
File Name; D:\Mahlo\TR\171120074416FP 4577_360 GSM3_THICKNESS2.txt

38142.0; 07:46:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.341925; 0.340499; 0.339040; 0.336385; 0.335926; 0.336141; 0.336563; 0.337299; 0.338188; 0.338154; 0.338331; 0.337443; 0.334207; 0.331056; 0.330164; 0.330763; 0.332123; 0.334384; 0.337074; 0.338557; 0.338979; 0.338479; 0.337808; 0.337612; 0.337073; 0.338433; 0.341972; 0.345930; 0.348835; 0.352105; 0.352623; 0.350876; 0.348986; 0.348516; 0.348273; 0.349932; 0.351599; 0.351509; 0.351641; 0.353162; 0.352255; 0.349969; 0.346856; 0.343434; 0.342388; 0.345323; 0.349529; 0.352288; 0.353226; 0.353139; 0.352002; 0.351415; 0.351055; 0.350863; 0.350985; 0.352112; 0.353194; 0.355228; 0.356984; 0.356035; 0.353640; 0.350849; 0.349622; 0.348925; 0.348567; 0.348642; 0.349479; 0.350632; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38143.0; 07:46:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.343240; 0.342154; 0.341559; 0.340603; 0.340295; 0.339879; 0.339013; 0.337259; 0.335031; 0.335057; 0.336489; 0.337542; 0.336686; 0.336410; 0.336251; 0.334375; 0.332736; 0.331923; 0.332066; 0.331976; 0.332852; 0.334087; 0.334719; 0.336390; 0.335685; 0.335396; 0.335212; 0.335134; 0.336434; 0.340877; 0.346041; 0.349372; 0.352180; 0.354616; 0.355403; 0.354948; 0.354891; 0.354575; 0.353396; 0.354373; 0.352643; 0.352645; 0.352806; 0.350650; 0.348781; 0.349737; 0.349790; 0.348959; 0.348583; 0.349225; 0.348770; 0.349785; 0.350437; 0.351204; 0.352113; 0.353455; 0.354175; 0.355228; 0.357175; 0.357391; 0.355806; 0.355321; 0.355318; 0.355054; 0.355259; 0.357198; 0.357552; 0.357705; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38143.9; 07:46:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.343210; 0.340817; 0.339702; 0.338842; 0.339226; 0.340150; 0.339481; 0.338493; 0.338841; 0.339200; 0.338744; 0.338327; 0.336113; 0.334643; 0.333993; 0.334479; 0.335332; 0.334473; 0.334703; 0.334544; 0.334240; 0.335457; 0.336436; 0.335241; 0.334192; 0.335605; 0.338883; 0.340847; 0.343283; 0.347235; 0.350579; 0.352706; 0.357016; 0.358964; 0.359591; 0.359666; 0.360040; 0.361057; 0.359740; 0.359465; 0.357138; 0.354656; 0.353600; 0.352093; 0.349705; 0.349115; 0.348839; 0.346440; 0.344183; 0.344474; 0.343856; 0.343104; 0.343454; 0.346683; 0.348571; 0.349474; 0.349918; 0.350374; 0.350758; 0.351466; 0.350844; 0.350244; 0.350637; 0.351747; 0.352450; 0.354290; 0.354587; 0.357705; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38144.9; 07:46:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.343220; 0.342817; 0.342364; 0.341654; 0.341474; 0.341186; 0.341197; 0.341366; 0.340771; 0.339311; 0.336876; 0.334051; 0.332241; 0.332954; 0.333466; 0.334813; 0.334261; 0.334412; 0.334740; 0.334834; 0.334513; 0.333966; 0.332556; 0.332884; 0.335740; 0.340444; 0.344532; 0.345449; 0.346421; 0.347473; 0.347014; 0.348370; 0.349670; 0.351896; 0.353831; 0.355470; 0.355941; 0.358363; 0.359140; 0.358189; 0.356191; 0.353668; 0.350309; 0.348463; 0.346899; 0.346793; 0.347549; 0.346893; 0.345739; 0.345355; 0.344940; 0.344987; 0.343059; 0.344196; 0.346180; 0.347375; 0.348217; 0.352351; 0.352775; 0.353672; 0.353583; 0.352839; 0.352986; 0.352346; 0.352218; 0.352857; 0.353893; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38145.9; 07:46:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.347159; 0.344983; 0.344189; 0.344538; 0.344358; 0.343894; 0.342272; 0.341397; 0.340247; 0.339057; 0.337257; 0.336256; 0.335388; 0.334295; 0.333477; 0.333864; 0.333091; 0.331786; 0.331419; 0.331754; 0.331643; 0.334020; 0.334968; 0.334000; 0.333285; 0.334093; 0.335723; 0.337458; 0.340432; 0.343782; 0.346393; 0.349697; 0.353441; 0.356159; 0.357258; 0.357626; 0.357169; 0.359363; 0.359725; 0.359418; 0.359263; 0.358179; 0.356178; 0.355051; 0.353658; 0.352058; 0.350867; 0.348583; 0.346463; 0.346246; 0.346834; 0.346567; 0.345320; 0.348378; 0.350074; 0.350479; 0.350918; 0.352934; 0.353927; 0.354959; 0.355120; 0.355103; 0.356049; 0.356365; 0.356412; 0.357241; 0.358197; 0.356267; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38146.9; 07:46:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.339848; 0.338812; 0.338276; 0.338070; 0.338432; 0.338627; 0.339145; 0.339296; 0.339069; 0.338184; 0.335832; 0.332314; 0.331841; 0.332798; 0.334161; 0.336323; 0.336266; 0.336467; 0.336327; 0.335687; 0.334880; 0.334339; 0.333754; 0.334808; 0.337965; 0.342113; 0.346467; 0.347169; 0.347642; 0.347398; 0.346217; 0.347795; 0.349408; 0.351631; 0.354610; 0.356591; 0.356693; 0.357698; 0.356971; 0.354628; 0.352381; 0.350829; 0.348046; 0.347488; 0.347147; 0.347097; 0.347671; 0.346377; 0.344568; 0.342931; 0.341864; 0.341941; 0.340270; 0.341907; 0.345016; 0.348426; 0.350431; 0.354154; 0.353489; 0.353026; 0.351924; 0.351499; 0.352219; 0.352394; 0.353320; 0.354615; 0.356194; 0.358816; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38147.8; 07:46:34; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.348581; 0.347073; 0.346921; 0.346838; 0.345917; 0.344918; 0.342948; 0.342204; 0.342053; 0.341038; 0.338358; 0.336296; 0.335729; 0.334336; 0.333575; 0.334515; 0.333638; 0.331716; 0.331447; 0.332052; 0.332541; 0.335014; 0.335895; 0.334381; 0.333379; 0.334328; 0.336277; 0.338166; 0.341130; 0.343902; 0.346323; 0.349837; 0.352953; 0.355456; 0.357557; 0.357585; 0.356656; 0.358724; 0.359466; 0.359286; 0.359182; 0.358140; 0.356061; 0.354835; 0.353187; 0.351620; 0.350879; 0.348742; 0.346364; 0.345734; 0.346357; 0.346503; 0.345466; 0.348443; 0.349972; 0.350308; 0.350911; 0.353105; 0.353492; 0.354567; 0.355259; 0.355331; 0.356270; 0.356723; 0.356707; 0.357334; 0.358499; 0.357516; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38148.8; 07:46:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.341770; 0.340994; 0.340725; 0.340064; 0.339936; 0.339881; 0.339996; 0.339908; 0.339758; 0.339292; 0.336838; 0.334295; 0.333689; 0.333131; 0.333629; 0.335258; 0.334124; 0.334602; 0.335284; 0.335365; 0.334770; 0.334317; 0.332962; 0.333218; 0.335570; 0.339215; 0.343046; 0.344272; 0.346221; 0.347356; 0.347467; 0.349734; 0.351042; 0.352629; 0.354194; 0.355831; 0.356195; 0.358980; 0.359280; 0.357904; 0.356092; 0.355019; 0.351280; 0.348551; 0.346822; 0.345861; 0.345427; 0.344053; 0.343551; 0.343514; 0.343813; 0.345077; 0.343498; 0.344414; 0.346936; 0.348836; 0.349290; 0.353129; 0.353739; 0.354331; 0.354565; 0.354910; 0.355657; 0.354991; 0.354929; 0.354512; 0.354060; 0.357516; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38149.8; 07:46:44; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.342268; 0.341986; 0.341050; 0.338726; 0.338450; 0.337811; 0.337329; 0.337569; 0.337111; 0.333975; 0.332856; 0.331169; 0.328760; 0.328065; 0.328235; 0.328585; 0.327694; 0.328426; 0.330450; 0.331462; 0.333003; 0.334276; 0.334812; 0.335904; 0.336655; 0.338138; 0.341774; 0.344691; 0.346883; 0.348898; 0.349526; 0.350566; 0.350388; 0.349945; 0.349740; 0.349761; 0.349390; 0.348960; 0.349023; 0.350124; 0.349740; 0.347866; 0.344022; 0.340876; 0.340234; 0.341047; 0.343407; 0.345535; 0.346830; 0.347021; 0.346606; 0.347040; 0.347146; 0.347763; 0.349344; 0.350185; 0.350657; 0.353196; 0.355315; 0.354897; 0.353242; 0.351799; 0.350409; 0.349016; 0.349008; 0.349145; 0.349264; 0.349761; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38150.8; 07:46:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.344600; 0.342807; 0.342544; 0.341610; 0.342028; 0.341694; 0.340860; 0.339559; 0.337310; 0.336179; 0.336740; 0.337389; 0.335824; 0.335427; 0.336215; 0.334778; 0.333289; 0.332557; 0.332562; 0.331270; 0.331984; 0.332656; 0.333442; 0.335956; 0.336485; 0.336877; 0.337314; 0.337343; 0.338937; 0.343535; 0.347616; 0.350378; 0.353454; 0.355671; 0.356493; 0.356485; 0.356193; 0.354687; 0.352838; 0.352844; 0.350928; 0.351364; 0.351957; 0.350655; 0.349031; 0.349838; 0.350007; 0.348769; 0.347948; 0.348189; 0.346807; 0.348094; 0.348809; 0.349693; 0.351651; 0.354571; 0.355960; 0.357204; 0.358484; 0.358492; 0.356526; 0.355786; 0.356127; 0.356798; 0.358239; 0.361625; 0.362859; 0.363787; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
