Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:26:41
File Name; D:\Mahlo\TR\171120072641FP 4577_360 GSM2_XMF2.txt

37941.6; 07:27:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.505457; 0.506348; 0.508158; 0.509373; 0.510227; 0.511322; 0.512034; 0.514068; 0.517159; 0.518248; 0.518341; 0.518843; 0.519922; 0.521455; 0.523077; 0.524732; 0.525925; 0.526688; 0.527697; 0.528825; 0.529879; 0.531526; 0.533076; 0.534533; 0.536254; 0.538113; 0.539628; 0.540987; 0.542200; 0.542632; 0.542459; 0.541832; 0.540989; 0.539700; 0.538237; 0.536794; 0.535405; 0.534186; 0.532503; 0.530408; 0.527954; 0.525164; 0.522336; 0.519930; 0.518366; 0.516939; 0.516480; 0.516652; 0.516955; 0.517490; 0.517764; 0.518012; 0.518000; 0.517990; 0.518031; 0.517406; 0.517098; 0.515652; 0.514775; 0.513955; 0.509674; 0.503919; 0.502021; 0.500567; 0.498610; 0.496467; 0.493982; 0.490396; 0.487200; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37942.6; 07:27:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.463813; 0.467145; 0.471079; 0.474970; 0.477585; 0.480423; 0.482995; 0.485098; 0.490563; 0.500183; 0.506730; 0.508681; 0.509664; 0.510388; 0.510634; 0.511419; 0.511190; 0.511333; 0.510632; 0.510099; 0.509825; 0.509951; 0.510283; 0.510229; 0.510031; 0.509670; 0.509662; 0.509821; 0.510171; 0.511470; 0.513020; 0.514311; 0.515196; 0.515915; 0.516756; 0.517062; 0.517078; 0.516942; 0.517042; 0.517478; 0.517916; 0.518013; 0.517525; 0.516554; 0.515638; 0.514788; 0.513895; 0.513446; 0.513292; 0.513152; 0.512522; 0.511651; 0.510440; 0.508278; 0.505087; 0.501574; 0.497873; 0.493758; 0.490154; 0.486331; 0.481386; 0.476967; 0.473009; 0.469858; 0.466309; 0.462612; 0.459135; 0.454715; 0.450404; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37943.6; 07:28:01; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.490257; 0.491231; 0.493075; 0.494649; 0.495587; 0.496776; 0.497956; 0.499914; 0.503002; 0.505503; 0.508050; 0.511963; 0.515857; 0.519108; 0.522325; 0.525060; 0.527363; 0.529610; 0.531437; 0.533430; 0.535322; 0.537076; 0.538207; 0.538950; 0.538832; 0.538096; 0.537232; 0.536500; 0.535475; 0.534360; 0.532565; 0.530637; 0.528136; 0.525982; 0.524072; 0.522344; 0.521194; 0.520391; 0.519624; 0.519064; 0.517877; 0.516242; 0.514533; 0.513513; 0.512353; 0.512445; 0.512470; 0.513032; 0.513895; 0.513681; 0.513030; 0.511214; 0.508529; 0.505746; 0.501908; 0.498251; 0.493593; 0.490221; 0.486257; 0.481442; 0.474815; 0.472035; 0.469136; 0.464865; 0.460538; 0.456637; 0.452595; 0.449357; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37944.6; 07:28:06; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.459142; 0.461092; 0.462953; 0.465633; 0.467875; 0.470268; 0.472847; 0.474883; 0.481485; 0.486748; 0.490408; 0.492969; 0.497165; 0.501447; 0.504689; 0.508293; 0.510220; 0.512830; 0.514183; 0.515834; 0.517647; 0.518500; 0.519350; 0.519774; 0.520638; 0.521059; 0.521418; 0.521812; 0.521864; 0.522677; 0.523678; 0.525118; 0.526560; 0.527848; 0.528925; 0.529848; 0.531232; 0.532853; 0.534261; 0.535359; 0.536275; 0.536894; 0.537409; 0.538315; 0.539322; 0.540661; 0.542090; 0.543399; 0.544672; 0.545905; 0.546932; 0.547509; 0.547677; 0.547330; 0.546964; 0.546387; 0.545441; 0.543961; 0.541465; 0.538565; 0.534690; 0.530124; 0.528261; 0.526215; 0.523910; 0.521357; 0.517916; 0.514785; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37945.6; 07:28:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.486611; 0.488816; 0.491006; 0.492597; 0.494199; 0.495609; 0.496623; 0.499481; 0.503761; 0.505597; 0.506776; 0.507677; 0.508260; 0.508206; 0.508635; 0.510334; 0.512473; 0.514031; 0.515197; 0.516457; 0.518143; 0.520186; 0.521762; 0.523015; 0.524311; 0.525797; 0.528114; 0.530310; 0.532679; 0.533292; 0.531905; 0.530152; 0.528213; 0.525973; 0.523318; 0.521138; 0.518660; 0.516228; 0.514090; 0.512795; 0.512056; 0.511141; 0.510313; 0.510395; 0.511056; 0.512899; 0.515571; 0.518683; 0.522444; 0.525416; 0.529172; 0.533046; 0.536280; 0.538838; 0.540310; 0.541540; 0.541330; 0.541365; 0.540321; 0.537310; 0.532885; 0.531440; 0.530529; 0.528878; 0.527532; 0.524829; 0.521186; 0.518349; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37946.6; 07:28:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.428154; 0.433561; 0.439133; 0.444667; 0.449469; 0.453594; 0.456814; 0.460927; 0.472649; 0.482577; 0.488334; 0.493291; 0.498609; 0.503464; 0.507139; 0.510962; 0.513189; 0.514825; 0.515802; 0.516361; 0.516661; 0.516985; 0.516803; 0.516397; 0.515739; 0.515102; 0.514343; 0.514110; 0.513965; 0.514425; 0.515029; 0.515815; 0.517071; 0.518289; 0.519376; 0.520415; 0.521679; 0.523236; 0.524800; 0.526828; 0.529030; 0.530917; 0.532032; 0.533052; 0.534538; 0.535889; 0.536753; 0.537578; 0.538665; 0.539587; 0.540041; 0.540361; 0.540570; 0.540521; 0.540225; 0.539549; 0.538430; 0.536772; 0.534796; 0.532079; 0.529042; 0.526560; 0.524781; 0.523715; 0.522510; 0.521135; 0.519360; 0.517378; 0.515100; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37947.5; 07:28:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.471619; 0.476967; 0.481772; 0.485552; 0.489125; 0.493097; 0.496197; 0.502220; 0.511901; 0.517588; 0.520986; 0.523669; 0.526466; 0.528670; 0.529814; 0.530519; 0.531448; 0.531761; 0.531686; 0.531190; 0.530127; 0.529262; 0.528655; 0.528859; 0.529126; 0.528247; 0.527477; 0.527275; 0.527497; 0.527878; 0.528323; 0.528423; 0.528630; 0.528016; 0.526600; 0.525123; 0.524066; 0.523002; 0.522513; 0.522159; 0.522169; 0.521614; 0.520744; 0.520121; 0.518769; 0.517465; 0.516475; 0.516124; 0.516677; 0.517272; 0.518421; 0.518382; 0.518539; 0.517224; 0.516276; 0.514478; 0.512558; 0.511548; 0.510777; 0.510401; 0.509856; 0.509420; 0.509164; 0.508309; 0.508249; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37948.5; 07:28:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.436523; 0.445949; 0.454278; 0.462628; 0.469370; 0.476842; 0.483910; 0.489011; 0.504447; 0.522191; 0.534355; 0.539545; 0.541407; 0.543483; 0.544933; 0.546125; 0.546249; 0.547715; 0.547306; 0.546407; 0.544622; 0.541656; 0.539314; 0.536656; 0.534905; 0.534253; 0.533663; 0.533187; 0.532359; 0.532306; 0.531834; 0.530565; 0.528146; 0.526388; 0.525268; 0.524644; 0.524365; 0.524642; 0.525129; 0.526212; 0.527964; 0.529866; 0.531411; 0.532973; 0.535213; 0.538004; 0.541361; 0.544494; 0.547329; 0.550243; 0.553029; 0.555384; 0.556584; 0.557540; 0.558279; 0.558263; 0.557234; 0.555425; 0.553654; 0.551798; 0.549013; 0.546052; 0.545183; 0.544276; 0.543130; 0.541433; 0.538973; 0.536766; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37949.5; 07:28:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.492913; 0.494391; 0.495997; 0.497110; 0.498318; 0.499987; 0.501583; 0.505525; 0.509716; 0.512807; 0.515666; 0.519226; 0.523022; 0.527148; 0.530889; 0.534186; 0.536860; 0.539449; 0.541910; 0.543795; 0.545533; 0.546958; 0.547732; 0.548059; 0.547913; 0.547966; 0.547684; 0.547671; 0.547787; 0.548209; 0.548776; 0.549031; 0.549000; 0.548660; 0.548225; 0.547926; 0.547724; 0.547604; 0.547461; 0.547243; 0.547137; 0.546769; 0.546340; 0.545403; 0.544663; 0.543625; 0.543114; 0.543112; 0.543466; 0.544763; 0.545774; 0.546966; 0.547814; 0.549161; 0.550760; 0.551376; 0.551998; 0.551718; 0.551613; 0.552005; 0.549752; 0.546915; 0.546462; 0.546344; 0.545435; 0.544825; 0.543767; 0.541790; 0.539512; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37950.5; 07:28:38; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.454676; 0.458919; 0.463838; 0.468352; 0.471883; 0.476444; 0.480537; 0.482930; 0.490356; 0.498307; 0.502287; 0.504510; 0.507327; 0.511641; 0.515337; 0.519263; 0.521634; 0.523779; 0.525491; 0.526334; 0.526851; 0.526827; 0.527616; 0.528706; 0.530194; 0.531488; 0.532196; 0.533174; 0.533488; 0.533939; 0.534420; 0.534781; 0.535223; 0.535668; 0.536226; 0.536925; 0.537853; 0.539042; 0.540601; 0.542192; 0.543525; 0.544719; 0.546174; 0.546937; 0.547192; 0.547289; 0.547351; 0.547484; 0.547580; 0.547801; 0.548309; 0.548734; 0.548772; 0.548793; 0.548543; 0.547814; 0.546494; 0.544325; 0.542473; 0.540748; 0.538484; 0.536164; 0.534066; 0.532813; 0.531907; 0.530601; 0.528994; 0.526677; 0.523342; 0.520507; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
