Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-05; 09:12:08
File Name; D:\Mahlo\TR\180105091208FP 4576_257 GSM0_FMI2.txt

1722.7; 09:12:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 256.761611; 256.977558; 257.048696; 257.331908; 257.570922; 257.522345; 257.378817; 257.389069; 257.450998; 257.540792; 257.496119; 257.757306; 258.020192; 258.205295; 258.365184; 258.321971; 258.391261; 258.587092; 258.771867; 258.987278; 259.322703; 259.846479; 260.276943; 260.649294; 261.503190; 262.870520; 263.648391; 264.274657; 264.949024; 265.591174; 266.209394; 266.519487; 267.008424; 267.509907; 267.906040; 268.078476; 268.360972; 268.698722; 268.926769; 268.904984; 268.660218; 268.479526; 268.282533; 268.172950; 268.460542; 268.826157; 269.435793; 269.786030; 269.811660; 269.751787; 270.033002; 270.301759; 270.680964; 270.804495; 270.705462; 270.835668; 270.956576; 271.301091; 271.703720; 271.752447; 271.545053; 271.340489; 271.051615; 271.235228; 271.416843; 271.709681; 271.941364; 271.897376; 272.191972; 272.251606; 272.353977; 272.134423; 271.724582; 271.395564; 271.259993; 271.423966; 271.448314; 271.382451; 270.863801; 270.578265; 269.951671; 269.450128; 268.978089; 268.264174; 267.654121; 267.114282; 267.181337; 267.197818; 266.989976; 266.784251; 266.197890; 265.500844; 265.165359; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1727.0; 09:12:28; (); (); (); (); (); (); (); 255.319804; 254.952967; 254.511148; 254.384965; 254.052699; 254.249752; 254.536688; 254.371971; 254.317194; 254.482061; 254.977763; 255.119741; 255.078018; 255.233705; 255.273163; 255.318105; 255.861610; 256.238610; 256.703436; 257.308513; 257.136583; 256.876647; 256.892651; 256.926984; 256.826967; 256.841779; 257.292867; 257.577777; 257.759869; 258.057564; 258.361548; 258.250117; 258.227378; 258.158177; 258.319765; 259.028524; 259.793311; 260.375708; 260.891259; 261.433780; 261.678785; 262.135714; 262.834668; 263.515115; 264.204144; 264.926881; 265.695453; 266.552627; 267.137825; 267.423064; 267.733961; 268.040836; 268.321306; 268.538833; 268.655002; 268.886954; 269.171745; 269.102275; 269.088596; 268.889695; 268.790781; 268.796146; 268.901020; 269.235373; 269.708693; 269.937903; 269.906700; 270.087183; 270.597607; 270.934373; 271.128654; 271.246284; 271.645069; 272.187889; 272.575140; 272.821754; 272.985011; 273.105830; 273.267031; 273.534507; 273.848742; 274.590462; 274.579942; 274.425060; 274.196893; 274.004459; 273.928314; 273.862422; 273.658693; 273.656070; 273.479074; 273.446143; 273.150861; 272.667229; 272.178322; 271.622837; 271.034360; 270.922363; 270.827591; 270.814657; 270.848364; 270.657539; 270.458668; 270.081908; 269.862235; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1730.4; 09:12:36; (); (); (); (); (); (); (); 254.040152; 254.264683; 254.852980; 255.529583; 256.017625; 256.646752; 257.345885; 257.889688; 258.874238; 259.627521; 260.292888; 260.982871; 261.434227; 261.886984; 262.344092; 262.873352; 263.134778; 263.284981; 263.361812; 263.406515; 263.411194; 263.363749; 263.370037; 263.315916; 263.488024; 263.766021; 264.252275; 264.874667; 265.519857; 266.098380; 266.624957; 267.338365; 268.031746; 268.788218; 269.582033; 269.930601; 270.285308; 270.567387; 270.436108; 270.758122; 270.984173; 271.061808; 271.011919; 270.896286; 270.803809; 270.776778; 270.469189; 270.129263; 269.653618; 269.131750; 269.079328; 269.012421; 269.024312; 269.595712; 269.654959; 269.636303; 269.519389; 269.524425; 269.478381; 269.627571; 269.990563; 270.231754; 270.246625; 270.374358; 270.741820; 271.084726; 271.238536; 271.388650; 271.068305; 271.225780; 271.303028; 271.586567; 271.672010; 271.883041; 271.807909; 271.872401; 271.889508; 272.134602; 272.446573; 272.781074; 272.770762; 273.004800; 273.115426; 273.365736; 273.206443; 273.079246; 273.078710; 273.410648; 273.672551; 273.851871; 273.612380; 273.417622; 273.246169; 272.772163; 272.157401; 271.899581; 271.597832; 271.327943; 270.874023; 270.789027; 270.881623; 270.834744; 270.423412; 269.813091; 269.293070; 269.192249; 269.295454; 269.730777; 270.049959; 270.349771; 270.183802; 270.102859; 270.249426; 270.384341; 270.363271; 270.126283; 269.988000; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.8; 09:12:45; (); (); (); (); (); (); (); 252.936751; 252.879202; 253.145695; 253.232032; 253.218770; 253.131390; 252.999038; 253.330857; 254.086524; 254.442543; 254.823804; 255.326658; 255.641460; 256.459296; 257.590950; 258.581817; 259.032935; 259.452581; 260.112137; 260.958225; 261.592418; 261.885345; 261.920750; 261.990666; 262.297571; 262.627929; 262.867749; 263.148993; 263.263315; 263.427287; 263.353050; 263.237566; 263.192892; 263.132244; 262.966782; 263.135135; 263.939440; 264.268130; 264.242262; 264.105827; 264.120877; 264.424086; 264.560103; 264.643192; 265.023619; 265.373737; 265.840471; 266.305983; 266.969502; 267.754644; 268.060923; 268.234342; 268.463880; 268.637836; 268.862486; 268.904567; 268.764108; 268.574893; 268.335372; 268.228084; 268.370956; 268.757075; 269.050896; 268.870980; 268.512279; 268.372893; 268.216014; 268.205374; 268.582851; 269.153535; 269.399136; 269.653440; 270.231456; 270.555019; 270.747155; 270.908266; 270.637035; 270.185381; 269.805431; 269.560575; 269.645154; 269.829035; 269.696742; 269.257694; 268.672615; 268.132776; 267.691970; 267.241746; 266.960770; 266.525894; 266.221583; 266.056150; 266.054541; 266.109139; 266.218990; 266.198695; 266.281337; 266.436517; 266.640961; 267.069936; 267.500877; 267.756939; 268.015206; 268.285811; 268.599749; 269.073069; 269.352674; 269.736052; 269.994229; 270.288765; 270.348489; 270.309061; 270.458013; 270.462602; 270.304948; 270.312995; 270.471513; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.2; 09:12:54; (); (); (); (); (); (); (); (); 249.982834; 250.732929; 251.005083; 251.564354; 252.108127; 252.768487; 253.624499; 254.679143; 255.946010; 257.083535; 258.162230; 258.769840; 259.220541; 259.580284; 259.561121; 259.182155; 259.051502; 259.071290; 259.004354; 258.865267; 258.438110; 257.932395; 257.313907; 256.742656; 256.374598; 256.204635; 256.369591; 256.686538; 257.313251; 257.993996; 258.960694; 259.825379; 260.462284; 260.955870; 261.519551; 262.129396; 262.581557; 263.134271; 263.772756; 264.228195; 264.656276; 265.170217; 265.861779; 265.952647; 265.986413; 265.969127; 265.910029; 266.267806; 266.692221; 267.321706; 267.925709; 268.677890; 269.287556; 269.673169; 270.008624; 270.332783; 270.724982; 271.023571; 271.454871; 271.854699; 272.237808; 272.748053; 273.333728; 273.355722; 273.159683; 272.943437; 272.517711; 272.411913; 272.257030; 272.161096; 271.962523; 271.919787; 272.197187; 272.565991; 272.794545; 273.233145; 273.175836; 272.927433; 272.992253; 273.456126; 273.910791; 274.404615; 274.533331; 274.668694; 274.956167; 275.360584; 275.287002; 275.004715; 274.499595; 274.105489; 273.725390; 273.668468; 273.694485; 273.330748; 272.527456; 271.635592; 271.142542; 270.846099; 270.653546; 270.418435; 270.257354; 270.365119; 270.433128; 270.532370; 270.605713; 270.465255; 270.060301; 269.903034; 270.102113; 270.376801; 270.582646; 270.787179; 271.118969; 271.213263; 271.099299; 270.670265; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1740.6; 09:13:02; (); (); (); (); (); (); (); (); 249.722421; 249.601781; 248.952553; 248.499528; 248.142213; 248.007998; 247.947499; 247.546211; 246.977687; 246.734545; 246.646553; 246.862173; 247.082993; 247.142449; 247.215092; 247.215196; 247.587800; 248.354763; 249.127522; 250.077009; 250.770450; 251.528531; 252.610534; 253.549218; 254.519492; 255.690336; 256.207436; 256.849527; 257.507741; 257.996529; 259.002626; 259.702563; 260.083735; 260.337830; 260.482430; 260.736048; 261.117488; 261.675507; 262.087166; 262.126207; 262.061894; 262.445450; 263.060093; 263.904512; 264.504820; 264.649093; 265.122235; 265.639156; 266.249001; 266.622275; 266.980112; 267.543554; 267.776132; 267.972112; 268.250495; 268.458068; 268.586993; 268.468380; 268.490463; 268.759847; 268.893123; 268.875629; 268.970758; 269.084722; 269.514769; 269.705236; 269.318730; 269.143462; 269.389361; 269.639999; 270.010084; 270.186603; 270.307183; 270.246387; 270.019293; 269.912899; 270.087689; 270.565569; 270.784914; 270.782471; 271.264732; 272.130221; 272.395849; 272.416025; 272.217840; 272.019535; 272.099108; 272.331268; 272.593081; 273.156315; 273.657441; 273.983479; 273.733407; 273.472309; 273.436695; 273.203939; 272.859365; 272.919714; 273.190290; 273.654342; 274.153054; 274.321854; 274.302602; 274.217546; 274.009556; 273.442626; 272.950977; 272.714913; 272.722572; 272.726953; 272.709548; 272.637665; 272.612929; 272.534728; 272.188395; 271.535307; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1743.9; 09:13:11; (); (); (); (); (); (); (); (); 248.536304; 248.228490; 248.339295; 248.717740; 249.557018; 250.182211; 250.443906; 251.138031; 251.894683; 252.245098; 252.469420; 252.601326; 253.055781; 253.499418; 253.844440; 254.441231; 255.021363; 255.572259; 255.747288; 255.487978; 255.402654; 255.416900; 255.118608; 255.070001; 255.429685; 255.959749; 256.491333; 257.041752; 257.505029; 257.987201; 258.669198; 259.401321; 259.973705; 260.285258; 261.059105; 261.622965; 262.189716; 262.708277; 262.943655; 263.010412; 263.274282; 263.482392; 263.380408; 263.400644; 263.721466; 263.751119; 263.611227; 263.788372; 264.111012; 264.010072; 264.010668; 264.038771; 263.973653; 264.101893; 264.390171; 264.807940; 265.163302; 265.751600; 265.918553; 266.096085; 266.218245; 266.345233; 266.301006; 266.485184; 266.716361; 266.926050; 267.071813; 267.475367; 267.616123; 267.528623; 267.282635; 267.255574; 267.256290; 267.391980; 267.194003; 267.093480; 267.141670; 267.380804; 267.650485; 268.101573; 268.442839; 268.738478; 268.648714; 268.644243; 268.692762; 268.827826; 269.114137; 269.135654; 269.255459; 269.816101; 269.848228; 269.573450; 268.983215; 268.242419; 267.479599; 266.635895; 266.052574; 265.903533; 265.896738; 265.978366; 266.065687; 265.926182; 266.132534; 265.942037; 265.672594; 265.743315; 265.977025; 266.555429; 267.076939; 267.551571; 267.978430; 268.428087; 268.644512; 268.747598; 268.769234; 268.545717; 268.168539; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1747.3; 09:13:19; (); (); (); (); (); (); (); 255.167514; 254.449308; 253.672004; 252.829581; 252.408087; 252.375305; 252.520919; 252.447933; 252.164155; 252.319127; 252.388537; 252.631456; 253.157943; 253.620327; 254.200757; 255.104303; 255.904227; 256.750822; 257.982910; 259.062648; 259.823769; 260.337204; 260.586262; 260.790169; 261.005223; 261.250228; 261.176169; 261.169136; 261.231631; 261.172056; 261.059046; 261.067957; 261.109680; 260.870993; 260.732830; 260.595649; 260.627538; 260.751605; 260.756731; 260.645211; 260.582834; 260.691166; 260.939896; 261.048436; 261.563152; 261.965156; 262.021691; 261.929363; 262.182623; 262.397766; 262.625873; 262.490630; 262.475729; 262.768924; 263.196409; 263.684839; 263.828903; 263.694257; 263.881952; 263.697982; 263.591260; 263.813496; 264.314473; 264.692068; 265.017807; 265.355796; 265.846461; 266.267627; 266.401619; 266.535401; 266.797781; 267.246693; 268.173397; 268.840194; 269.510508; 270.275414; 270.804793; 271.016687; 271.509886; 271.896034; 272.379935; 272.897959; 273.382396; 273.740917; 273.698419; 273.637801; 273.649067; 273.582965; 273.417860; 273.332596; 273.188651; 273.216933; 273.277104; 272.776783; 272.419214; 272.129178; 272.043586; 271.718949; 271.733046; 271.949291; 271.873802; 271.649122; 271.435469; 271.653652; 271.844178; 271.935195; 271.724105; 271.211535; 270.834178; 270.237118; 269.882351; 269.653857; 269.600898; 269.358665; 269.156426; 269.188106; 269.324034; 269.200921; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1750.8; 09:13:28; (); (); (); (); (); (); (); 249.256492; 249.304608; 249.478802; 249.533206; 249.978900; 250.498503; 250.584394; 250.656009; 250.951082; 251.357466; 251.173198; 251.092672; 251.595944; 251.853913; 252.577364; 253.249615; 253.685683; 253.775477; 253.929019; 253.756821; 253.561676; 253.750533; 253.944546; 254.077941; 254.589468; 255.105585; 255.344391; 255.453378; 255.953252; 256.120950; 256.366700; 256.852388; 257.379383; 258.255035; 259.101033; 260.003865; 260.652006; 261.336446; 262.323976; 262.903571; 263.558596; 263.877153; 263.801306; 263.652205; 263.890713; 263.875455; 263.982415; 264.365256; 264.647573; 264.766842; 264.785498; 264.938354; 264.953792; 264.656037; 264.394552; 264.458269; 264.848143; 265.457898; 265.806466; 265.956521; 266.163379; 266.474396; 266.678989; 266.705275; 266.861141; 267.218590; 267.478615; 267.705500; 268.299460; 268.656373; 268.934637; 269.178748; 269.304127; 269.387186; 269.394606; 269.542307; 269.688338; 270.125031; 270.526171; 271.035701; 271.377712; 271.713644; 271.691710; 271.747380; 272.245646; 272.864431; 273.412257; 273.895770; 274.261594; 274.813354; 275.110692; 274.840415; 274.240077; 273.700953; 272.920787; 272.020340; 271.435052; 271.017283; 270.579338; 269.796520; 269.090891; 268.594265; 267.999709; 267.361879; 266.768932; 266.344488; 265.786201; 265.037119; 264.671832; 264.601022; 264.320910; 264.134616; 264.002800; 263.765335; 263.380200; 262.891591; 262.401253; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1754.2; 09:13:37; (); (); (); (); (); (); (); 246.924743; 247.480437; 247.814879; 248.174414; 248.429701; 248.881057; 249.525949; 250.558645; 251.269728; 252.035797; 252.323776; 252.557635; 252.795428; 252.960861; 253.016740; 253.608763; 254.422873; 255.055189; 255.113393; 255.383819; 255.656093; 255.744755; 255.739510; 255.926996; 255.993903; 256.403685; 256.813943; 256.809950; 257.141411; 257.229626; 257.057220; 256.785244; 257.283002; 257.995307; 258.144945; 258.311927; 258.666009; 259.171993; 259.844244; 260.978043; 261.976331; 262.752444; 263.616502; 264.203548; 264.795840; 265.692770; 266.458124; 266.972274; 267.547846; 268.407732; 269.123584; 269.799769; 270.169854; 270.499140; 270.473391; 270.360053; 270.416170; 270.323724; 270.148993; 270.230949; 270.078957; 269.770950; 269.203961; 268.834919; 268.418610; 267.939955; 267.678410; 267.643481; 267.467588; 267.484993; 267.592490; 267.705709; 267.818898; 267.896771; 267.696798; 267.454863; 267.395198; 267.549753; 267.593890; 267.561942; 267.533511; 267.403007; 267.166048; 267.233700; 266.989648; 266.687661; 266.368538; 266.274780; 266.166419; 266.089052; 265.777051; 265.436798; 265.371501; 265.210152; 265.390038; 265.420347; 265.484869; 265.641123; 265.393496; 265.205443; 264.926523; 265.112251; 265.344113; 265.547872; 266.077012; 266.321480; 266.280621; 266.095489; 265.789628; 265.451789; 265.337229; 264.972359; 264.601707; 264.609933; 265.051782; 265.426159; 265.233278; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1757.6; 09:13:45; (); (); (); (); (); (); (); 254.490346; 254.735202; 254.629314; 254.969597; 255.278915; 255.424529; 255.615532; 256.034523; 256.776452; 257.568002; 258.035570; 258.393168; 258.590251; 258.847624; 259.060204; 259.311229; 259.373844; 259.720981; 260.098994; 260.478586; 260.966271; 261.365473; 261.484027; 261.868507; 261.994272; 262.098074; 262.386858; 262.840271; 263.474315; 264.157981; 264.924765; 265.514314; 266.012549; 266.266972; 266.410053; 266.428828; 266.232491; 266.490608; 266.651303; 266.926289; 267.091572; 266.931772; 266.836733; 266.726047; 266.738713; 266.908139; 267.396718; 267.688364; 267.943889; 268.208236; 268.757343; 269.447029; 269.876897; 270.149052; 270.284981; 270.668268; 271.325886; 271.921396; 272.731811; 273.068368; 273.145378; 273.020089; 272.984862; 273.065716; 273.287535; 273.383707; 273.333669; 273.359179; 273.597330; 273.995429; 274.277270; 274.398297; 274.512261; 274.241388; 274.231941; 274.219245; 274.421453; 274.964303; 275.340587; 275.545418; 276.009619; 276.645094; 276.861221; 276.964843; 277.242392; 277.576923; 277.748168; 277.726620; 278.009266; 278.207362; 278.433681; 278.543293; 278.306723; 277.970105; 277.652144; 277.134120; 276.388615; 275.915205; 275.447190; 274.850547; 274.342299; 274.194330; 274.260253; 274.091274; 273.792505; 273.537040; 273.631185; 273.963451; 274.321616; 274.796546; 275.130630; 275.377125; 275.636941; 275.986284; 276.502848; 276.805133; 276.813835; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
