Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-15; 11:19:30
File Name; D:\Mahlo\TR\171115111930FP 4577_360 GSM0_FMI2.txt

35295.7; 11:19:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 346.512228; 346.658826; 346.635073; 346.334040; 345.781565; 345.551223; 345.608413; 345.552832; 345.396817; 345.195830; 344.696820; 344.261974; 344.340593; 344.594181; 344.478726; 344.189584; 343.852907; 343.767881; 343.887210; 344.319373; 344.827443; 344.986856; 345.317304; 345.595419; 345.475495; 345.707238; 345.819116; 345.674574; 345.576525; 345.601976; 345.813543; 346.215725; 346.412152; 346.491307; 346.258193; 345.982134; 345.760345; 345.160395; 344.864011; 344.921857; 344.892949; 344.979644; 345.035911; 344.896942; 344.817817; 344.509959; 344.228685; 344.053119; 343.833536; 343.791276; 343.766272; 344.001591; 344.255090; 344.205439; 343.918860; 343.757153; 343.539268; 343.355060; 343.275487; 343.165755; 342.913032; 342.800796; 342.744261; 343.143880; 343.282610; 343.044817; 342.698753; 342.539310; 342.715889; 343.025237; 343.018383; 342.805207; 342.971653; 343.003273; 342.960268; 343.150288; 343.144715; 342.944473; 342.543304; 342.669725; 342.708498; 342.976540; 343.251586; 343.229741; 343.240172; 343.764067; 344.191790; 344.208151; 344.311297; 344.568163; 344.842255; 345.131457; 345.450491; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35309.1; 11:20:25; (); (); (); (); (); (); (); 350.866199; 350.552171; 350.237012; 349.956989; 349.294782; 348.906815; 348.945439; 348.691165; 348.259956; 347.893447; 347.734392; 347.266406; 346.987307; 346.808553; 346.395046; 345.993459; 345.796764; 345.853984; 345.738083; 345.582038; 345.065713; 344.442278; 344.385326; 344.464779; 344.522834; 344.480246; 344.518602; 344.462246; 344.641417; 345.085055; 345.194906; 345.167041; 345.075071; 345.104694; 345.835626; 346.444368; 346.981078; 347.569704; 347.815394; 347.906619; 348.330587; 348.798424; 349.011183; 349.124700; 349.442452; 349.832892; 350.515157; 350.931138; 351.462573; 351.936162; 352.347881; 352.680355; 352.614164; 352.921844; 353.424430; 353.222847; 353.048593; 352.978259; 353.095621; 353.008032; 352.984577; 352.943331; 353.043348; 353.159726; 352.976650; 353.010416; 352.884054; 352.751613; 352.119714; 351.319820; 351.241857; 351.218432; 350.941181; 350.208640; 349.849492; 349.292070; 348.504037; 348.226905; 348.274976; 348.179847; 347.695440; 347.261757; 347.128093; 347.391993; 347.809106; 347.874671; 347.862422; 347.936124; 348.352373; 348.361045; 348.704964; 348.887771; 348.172069; 347.234517; 346.954703; 346.795797; 346.827120; 346.669525; 346.381038; 346.346468; 346.087724; 345.947653; 346.410930; 346.205026; 346.112788; 345.869035; 345.944047; 346.502066; 346.983373; 347.141623; 347.276062; 347.349405; 347.511023; 347.719759; 347.623318; 347.794324; 347.837269; 347.164154; 347.308993; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35311.5; 11:20:34; (); (); (); (); (); (); (); 350.866199; 340.262264; 340.176016; 339.823961; 339.671046; 339.787036; 339.981437; 340.166092; 340.427876; 340.466499; 340.306252; 339.981884; 339.771748; 339.832783; 339.666635; 339.802623; 339.738309; 339.634538; 339.760572; 339.781106; 339.772075; 339.754045; 339.643985; 339.353114; 339.492738; 339.827716; 340.216577; 340.485007; 340.524852; 340.683252; 340.871304; 341.011703; 341.185153; 341.474622; 341.754675; 341.766059; 341.939658; 342.152685; 342.279255; 342.115670; 341.892540; 341.857225; 341.994017; 342.216849; 342.646390; 343.162864; 343.694240; 344.129294; 344.332367; 344.646931; 345.175236; 345.244765; 345.304638; 345.362812; 345.410764; 345.603079; 345.895708; 346.226156; 346.630871; 347.071528; 347.403795; 347.696543; 347.891092; 348.388106; 348.555803; 348.361045; 348.416537; 348.680198; 349.047571; 349.439949; 349.813253; 350.343585; 350.443035; 350.395590; 350.231022; 350.098640; 349.825799; 349.644005; 349.455684; 349.290669; 349.782288; 350.538641; 350.913525; 351.146549; 351.676136; 352.153629; 351.840734; 351.599157; 351.516306; 351.527661; 351.435453; 351.350635; 351.357877; 351.222008; 351.180613; 350.750148; 350.144774; 350.075424; 350.233406; 350.012541; 349.663466; 349.356174; 349.063784; 348.748922; 348.364383; 348.187506; 348.018706; 348.077893; 348.371327; 348.521560; 348.536938; 348.691970; 348.536372; 348.113209; 347.579807; 347.256064; 347.683400; 348.103851; 348.292321; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35314.0; 11:20:43; (); (); (); (); (); (); (); (); 341.955453; 341.598958; 341.828674; 341.833830; 341.825157; 342.087597; 341.934800; 341.764718; 341.375321; 341.127723; 341.209918; 341.164738; 341.272116; 341.423482; 341.542542; 341.723174; 341.895759; 341.599196; 341.982841; 342.428297; 342.269301; 342.363775; 342.670619; 342.993200; 343.567371; 343.906611; 344.058841; 344.362527; 344.797194; 345.296383; 345.578402; 346.040219; 347.096950; 347.620547; 347.951084; 348.776817; 349.713266; 349.994868; 350.371063; 350.237697; 350.224942; 350.674450; 351.205111; 351.633877; 351.896584; 352.499306; 353.074729; 353.441387; 353.785247; 354.058266; 354.278713; 354.277134; 354.676902; 355.107784; 355.595082; 356.332541; 356.694639; 356.974691; 357.219875; 357.804209; 358.329952; 358.673453; 358.770698; 358.724296; 358.583659; 358.559072; 358.546197; 358.520299; 358.302444; 358.620673; 358.732074; 358.610123; 358.172238; 357.645094; 357.253253; 357.017130; 356.913567; 357.252926; 357.720345; 358.242601; 358.602196; 358.860135; 358.442515; 358.310997; 358.086169; 358.185410; 358.234614; 358.529001; 358.866543; 358.489245; 357.770652; 357.147783; 356.144220; 355.203241; 354.369938; 353.929937; 353.678912; 354.018807; 354.008079; 353.485286; 352.902561; 352.584362; 351.992071; 351.739287; 352.131844; 352.420032; 352.687716; 352.971137; 353.028953; 352.695048; 352.091312; 351.748943; 351.525694; 351.328582; 351.599395; 351.678699; 351.747364; 351.979226; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35316.5; 11:20:51; (); (); (); (); (); (); (); (); 352.300227; 351.906002; 352.013797; 351.762354; 351.346940; 351.312101; 351.159275; 351.423949; 351.267904; 351.049513; 350.805730; 350.281417; 349.957079; 349.348962; 348.967642; 348.986745; 348.838300; 348.443329; 348.602891; 348.629832; 348.473042; 348.636746; 348.703712; 349.022776; 349.770993; 350.397110; 351.008773; 351.294786; 351.942807; 352.283090; 352.429688; 352.828175; 353.315443; 353.528500; 354.213476; 354.569763; 354.528904; 354.443967; 354.386806; 354.155481; 353.850693; 353.620321; 353.745073; 353.865832; 353.845984; 353.768557; 353.504032; 353.119105; 353.061467; 352.654636; 352.660716; 352.695286; 352.899790; 352.996439; 352.785915; 352.354795; 351.658285; 351.258904; 351.008385; 350.879908; 351.167887; 351.629406; 351.130396; 350.261509; 349.655598; 349.141628; 348.863214; 348.192394; 347.206533; 346.775323; 346.597522; 346.231878; 345.694900; 344.805896; 344.336599; 343.739450; 343.027443; 343.330860; 343.877405; 344.354928; 344.544142; 344.606429; 345.073998; 345.424443; 345.358521; 345.116585; 345.287234; 345.849097; 346.335649; 346.510917; 346.555293; 346.877456; 347.205788; 347.589761; 347.988218; 348.551869; 348.820567; 349.208236; 350.147724; 351.063699; 351.753980; 352.179646; 352.229029; 352.265000; 352.710634; 353.505760; 353.908122; 353.560716; 353.514671; 353.195399; 352.905631; 352.912605; 352.588445; 352.096587; 351.622909; 351.673424; 351.945043; 352.347255; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35319.0; 11:21:00; (); (); (); (); (); (); (); (); 345.824629; 345.369786; 344.956249; 344.654262; 344.454974; 344.325185; 344.446719; 344.451964; 344.418347; 344.360650; 344.222307; 343.992382; 343.934804; 343.944132; 343.818426; 344.031185; 344.483435; 344.865680; 345.401883; 345.912457; 346.466750; 346.827745; 347.580373; 348.075360; 348.342091; 348.711073; 349.472493; 350.146741; 350.602716; 351.134539; 351.594418; 351.961851; 352.337837; 352.443308; 352.724701; 352.773517; 352.670521; 352.533042; 352.734119; 352.742225; 352.980256; 352.606744; 352.270633; 352.070987; 352.148056; 352.077156; 351.697952; 351.335347; 351.149857; 350.636721; 350.389451; 350.380003; 349.996835; 349.494576; 348.978043; 348.559946; 348.759800; 348.864526; 348.943800; 349.133074; 349.178493; 349.772245; 350.186765; 350.534499; 351.067781; 351.575226; 352.154016; 352.852076; 353.634775; 354.303330; 354.630530; 354.875803; 355.303496; 355.940461; 356.426150; 356.945813; 357.618779; 358.353972; 358.716697; 358.843714; 359.216988; 359.580487; 359.696209; 359.805554; 360.208750; 360.603541; 361.188561; 361.931533; 361.821979; 361.652911; 361.658692; 361.369371; 361.046284; 361.477017; 362.323761; 362.202018; 361.757368; 361.521095; 361.171573; 360.920787; 360.728145; 360.093087; 359.407157; 359.038889; 358.500242; 357.830554; 357.202142; 356.931001; 356.625438; 355.976582; 355.353206; 354.962051; 354.716480; 354.728281; 354.433089; 354.152381; 353.872061; 353.955746; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35321.6; 11:21:09; (); (); (); (); (); (); (); (); 357.363850; 356.902301; 356.711626; 356.677830; 356.556386; 356.504828; 356.595427; 356.839806; 357.105434; 357.411206; 357.623249; 357.649505; 357.283264; 356.785446; 357.021242; 357.419610; 357.791960; 357.827514; 357.763171; 357.677728; 357.484639; 357.479930; 357.400656; 357.060015; 356.380224; 356.013805; 356.019378; 355.916291; 355.429232; 354.911715; 354.634106; 354.491353; 354.400665; 354.124576; 353.795528; 353.341818; 352.805883; 352.354884; 352.060795; 351.940632; 351.631194; 350.995243; 350.620806; 350.675136; 350.456119; 350.123137; 349.574953; 349.016935; 348.735332; 348.791450; 349.013865; 349.233210; 349.234283; 349.230438; 349.256188; 349.295169; 348.967463; 348.880947; 348.802775; 348.604769; 348.351300; 348.277599; 348.100722; 347.869277; 347.576112; 347.408384; 347.188473; 347.404689; 347.459257; 347.099662; 347.039372; 347.182065; 347.161829; 347.048968; 347.077906; 347.040236; 346.703082; 346.970648; 347.194970; 347.173721; 346.920103; 346.783429; 346.478075; 346.175998; 345.944822; 345.477104; 345.060498; 344.791174; 344.841421; 344.733834; 344.627410; 344.667196; 344.408274; 344.201505; 343.869954; 343.314171; 342.761993; 342.450202; 342.398375; 342.519850; 342.672557; 342.891544; 342.901081; 342.777163; 342.314959; 342.078149; 342.385828; 342.533022; 342.810005; 343.365639; 343.916029; 344.317317; 344.339043; 344.422311; 344.536215; 344.734639; 344.861776; 344.877928; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35324.1; 11:21:17; (); (); (); (); (); (); (); (); 347.702444; 347.657055; 347.531736; 347.254932; 347.270668; 347.058624; 347.134292; 347.211391; 346.840560; 346.334368; 346.381843; 346.642882; 346.928835; 346.965879; 347.361475; 347.543925; 347.403795; 347.587705; 347.693652; 347.601920; 347.831458; 347.988307; 347.845048; 347.894460; 348.451436; 348.990202; 349.138945; 349.153697; 349.312246; 349.509120; 349.807888; 350.020438; 349.994719; 350.186408; 350.552291; 350.694835; 350.829601; 351.107925; 351.303011; 350.879729; 350.510031; 350.285143; 350.269049; 350.303531; 350.766003; 350.865364; 351.187617; 351.586699; 351.905346; 352.188200; 352.506429; 352.694154; 352.499455; 352.305710; 352.361023; 352.648675; 353.051215; 353.359044; 353.557616; 353.688002; 354.013145; 354.276955; 354.293495; 354.476392; 354.556918; 354.525685; 354.483575; 355.058193; 355.773807; 356.398851; 356.820673; 357.133210; 357.761383; 357.864380; 357.807130; 358.019054; 358.104467; 358.659983; 358.880907; 358.925432; 359.101772; 359.523773; 359.871060; 359.972179; 360.109121; 360.334456; 360.585809; 360.318601; 360.545665; 360.812634; 360.700190; 360.393763; 359.900326; 360.035181; 360.272348; 359.938920; 359.852612; 359.703392; 359.409928; 358.784735; 358.136296; 357.839018; 357.995510; 357.945204; 357.850581; 358.369410; 359.301120; 359.787822; 359.894425; 359.955847; 360.461384; 360.586882; 360.660762; 361.023456; 361.679077; 362.289786; 362.854242; 363.062799; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35326.6; 11:21:26; (); (); (); (); (); (); (); (); 354.113489; 353.892982; 353.576481; 353.477985; 353.506863; 353.444099; 353.239596; 353.010237; 352.726340; 352.077961; 351.528138; 350.852221; 350.155413; 349.509060; 349.007756; 348.593801; 348.267972; 347.984880; 347.452730; 347.133547; 346.675843; 346.257627; 346.025467; 345.974475; 346.266240; 346.582890; 346.969366; 347.164661; 347.427756; 347.469777; 347.502589; 347.327828; 347.016692; 347.209364; 346.949965; 346.929610; 347.094387; 347.193182; 347.550243; 348.054826; 348.242193; 348.405659; 348.761320; 348.996282; 348.875970; 349.065661; 349.594623; 350.074083; 350.457549; 351.240277; 351.800501; 352.211893; 352.565348; 352.511346; 352.148712; 352.455199; 352.806538; 352.836043; 353.005230; 353.629827; 353.637576; 353.424519; 353.505492; 353.636205; 353.683889; 353.624433; 353.613347; 353.580236; 353.715986; 353.802681; 353.361070; 353.008866; 353.185266; 353.436232; 353.320628; 353.569716; 354.253322; 354.855448; 355.018318; 355.434775; 356.348425; 357.084781; 357.654750; 358.357936; 358.915865; 359.211326; 359.706432; 360.370696; 360.929370; 362.129301; 363.053709; 363.268822; 363.728404; 364.162117; 364.051521; 363.739371; 363.674223; 363.910288; 363.754570; 364.208043; 364.858687; 365.126789; 364.545316; 363.978118; 363.146275; 363.144577; 363.735348; 363.970906; 364.338845; 364.603341; 364.673764; 364.654511; 364.574611; 364.803314; 364.659846; 364.440620; 364.291877; 364.687651; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35329.1; 11:21:35; (); (); (); (); (); (); (); (); 353.221297; 353.126556; 353.093028; 352.957577; 352.993309; 352.883190; 352.793366; 352.911979; 352.868050; 352.535784; 352.368355; 352.210790; 352.436364; 352.650017; 352.738529; 352.684706; 352.842808; 352.730691; 352.627099; 352.498174; 352.645218; 353.087455; 353.339404; 353.534341; 353.939056; 354.364783; 354.902476; 355.066299; 355.061263; 355.122626; 355.131745; 354.791284; 355.141610; 355.906278; 356.654197; 357.286692; 357.289225; 357.086986; 356.906652; 356.970102; 357.172489; 356.867701; 356.491596; 356.170982; 356.295973; 356.551647; 356.751114; 356.345743; 355.739176; 355.577439; 355.254143; 354.907006; 355.181277; 355.210602; 354.937643; 354.692608; 354.420066; 354.228735; 354.190499; 353.881061; 353.826106; 353.972912; 353.989244; 354.061782; 353.475869; 352.690578; 352.115750; 351.358593; 351.140022; 350.936681; 350.513458; 350.146979; 349.916965; 349.653631; 349.458396; 349.132299; 348.903835; 348.656386; 348.337680; 348.165810; 348.336071; 348.449439; 348.190218; 347.984046; 347.779721; 347.851068; 348.150730; 348.153949; 347.827554; 347.464651; 347.165257; 346.887589; 346.857935; 346.939892; 347.041458; 346.766144; 346.930176; 347.299635; 347.338617; 347.294956; 347.159833; 346.670032; 346.488386; 346.747190; 347.273529; 348.016143; 348.741114; 349.435359; 349.700838; 350.021869; 350.352854; 350.467145; 350.409329; 350.550175; 350.904912; 351.440400; 352.835983; 353.654414; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35331.6; 11:21:43; (); (); (); (); (); (); (); 357.532710; 357.239395; 356.848657; 356.345117; 355.754286; 355.048239; 354.562700; 354.638726; 354.294002; 353.527755; 353.021562; 352.902979; 352.360934; 351.772904; 351.365238; 351.168901; 351.176381; 351.088792; 351.203740; 351.222306; 351.734012; 352.234989; 352.120936; 352.567345; 352.880567; 352.838606; 352.421910; 352.361768; 352.459431; 352.633208; 352.466822; 352.145463; 351.747245; 351.488531; 351.458758; 350.932360; 350.634605; 350.241125; 349.734992; 349.419922; 349.204689; 349.265099; 349.476308; 349.864155; 350.023478; 350.155979; 350.465894; 350.823700; 351.146817; 351.351053; 351.471186; 351.421177; 351.508886; 351.585358; 352.075666; 352.811396; 352.949888; 352.889717; 352.600455; 352.401614; 352.389902; 352.321416; 352.538407; 352.653712; 352.636516; 353.019416; 353.750765; 354.294628; 354.653776; 354.638815; 354.472667; 354.618609; 354.668200; 354.969800; 355.166078; 355.536759; 355.859727; 355.960220; 356.644303; 357.095122; 357.187718; 357.542217; 358.052433; 358.261764; 358.481169; 358.754694; 359.403342; 359.625757; 359.514236; 359.627515; 359.454244; 359.277517; 359.185308; 358.375102; 358.149409; 358.162224; 357.657135; 356.846422; 356.295764; 355.628759; 354.685962; 353.938311; 353.755385; 353.812337; 353.557378; 353.560716; 353.282541; 353.077292; 353.492111; 353.411824; 353.004932; 352.822512; 352.881491; 353.076130; 353.340119; 353.742927; 354.142547; 354.322553; 353.654414; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
