Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_THICKNESS2.txt

10.4; 08:01:58; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334978; 0.334263; 0.334234; 0.335336; 0.334276; 0.334171; 0.335089; 0.335960; 0.336804; 0.339332; 0.342750; 0.343384; 0.342262; 0.340850; 0.339456; 0.338410; 0.337503; 0.336112; 0.336500; 0.341690; 0.345023; 0.345635; 0.345833; 0.345143; 0.342384; 0.341827; 0.345010; 0.348011; 0.349686; 0.354176; 0.357622; 0.360560; 0.362348; 0.361012; 0.357854; 0.357011; 0.356849; 0.356686; 0.356410; 0.356190; 0.355466; 0.353380; 0.351635; 0.350568; 0.349097; 0.348339; 0.349437; 0.350386; 0.349617; 0.348630; 0.348446; 0.349362; 0.352446; 0.355993; 0.357840; 0.358586; 0.360792; 0.361407; 0.362065; 0.363186; 0.364610; 0.364962; 0.366631; 0.369732; 0.371304; 0.372009; 0.371910; 0.367585; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11.4; 08:02:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334978; 0.332477; 0.330933; 0.332993; 0.333263; 0.333347; 0.333793; 0.334553; 0.334849; 0.334171; 0.335440; 0.336341; 0.336694; 0.337005; 0.336588; 0.336399; 0.336584; 0.335223; 0.335630; 0.338964; 0.341784; 0.343297; 0.344990; 0.346646; 0.346823; 0.348639; 0.350378; 0.348928; 0.348970; 0.350809; 0.354106; 0.357612; 0.360046; 0.358937; 0.357212; 0.354747; 0.350541; 0.347975; 0.346160; 0.344266; 0.343291; 0.342692; 0.343017; 0.343666; 0.343934; 0.343450; 0.343028; 0.342688; 0.341648; 0.341058; 0.342876; 0.346704; 0.350087; 0.353230; 0.355704; 0.357195; 0.358617; 0.359076; 0.359133; 0.359004; 0.358458; 0.358612; 0.360747; 0.362990; 0.363289; 0.363414; 0.362439; 0.359750; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
12.3; 08:02:08; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334847; 0.334840; 0.335296; 0.335470; 0.334119; 0.334524; 0.334523; 0.334567; 0.336102; 0.338906; 0.342061; 0.343396; 0.340697; 0.336264; 0.332563; 0.332571; 0.330907; 0.329900; 0.330141; 0.332482; 0.335531; 0.338194; 0.339262; 0.337125; 0.334549; 0.334949; 0.339301; 0.343600; 0.349193; 0.353697; 0.357682; 0.362155; 0.362403; 0.362765; 0.361125; 0.358516; 0.357567; 0.358443; 0.358979; 0.357540; 0.355320; 0.353130; 0.351770; 0.348038; 0.344789; 0.343514; 0.342510; 0.342990; 0.343655; 0.345286; 0.346722; 0.346926; 0.347801; 0.348981; 0.351255; 0.352832; 0.353591; 0.354096; 0.355628; 0.356892; 0.358534; 0.359637; 0.360626; 0.360813; 0.360295; 0.360086; 0.359137; 0.358219; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13.3; 08:02:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.336302; 0.333850; 0.333162; 0.335804; 0.336382; 0.335886; 0.335700; 0.336158; 0.336835; 0.337769; 0.339013; 0.339125; 0.339151; 0.339484; 0.339090; 0.338541; 0.338865; 0.337007; 0.336043; 0.339746; 0.342189; 0.344303; 0.347565; 0.349141; 0.347135; 0.347561; 0.349044; 0.347940; 0.347671; 0.350677; 0.354687; 0.357462; 0.359811; 0.358358; 0.356280; 0.354885; 0.350727; 0.347088; 0.345790; 0.345660; 0.346248; 0.345794; 0.345731; 0.345898; 0.345215; 0.344584; 0.344683; 0.344414; 0.343670; 0.342457; 0.344299; 0.348309; 0.352517; 0.356038; 0.357719; 0.358104; 0.358816; 0.358971; 0.359229; 0.360126; 0.360496; 0.360769; 0.362463; 0.364894; 0.366742; 0.366474; 0.364710; 0.361586; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
14.3; 08:02:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.337199; 0.335673; 0.334126; 0.335452; 0.335576; 0.335718; 0.336008; 0.336056; 0.336698; 0.339230; 0.342468; 0.343229; 0.340617; 0.340037; 0.339948; 0.338748; 0.338560; 0.338785; 0.338569; 0.343738; 0.346662; 0.348395; 0.349961; 0.350955; 0.347870; 0.345522; 0.346482; 0.349268; 0.350908; 0.353935; 0.358760; 0.361917; 0.362772; 0.361700; 0.356973; 0.355236; 0.355035; 0.354053; 0.351703; 0.352343; 0.351946; 0.350716; 0.348787; 0.347382; 0.346897; 0.345479; 0.345011; 0.345845; 0.346461; 0.346871; 0.346846; 0.346268; 0.347221; 0.351009; 0.353617; 0.355606; 0.356792; 0.358337; 0.359914; 0.360231; 0.360035; 0.360092; 0.361084; 0.362556; 0.362880; 0.363278; 0.364652; 0.362667; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15.2; 08:02:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.337199; 0.341375; 0.339368; 0.339828; 0.340748; 0.340388; 0.339210; 0.339331; 0.338292; 0.338854; 0.340246; 0.340094; 0.338224; 0.336343; 0.335024; 0.333749; 0.333036; 0.332796; 0.331886; 0.333509; 0.336022; 0.337789; 0.338445; 0.339928; 0.337116; 0.336512; 0.337520; 0.339987; 0.343400; 0.347846; 0.353197; 0.356425; 0.357564; 0.357136; 0.353841; 0.352053; 0.350976; 0.349041; 0.347308; 0.349207; 0.348364; 0.347380; 0.345994; 0.343056; 0.339962; 0.337030; 0.335933; 0.336073; 0.337803; 0.340571; 0.342838; 0.344347; 0.346274; 0.348480; 0.349070; 0.349393; 0.349946; 0.351647; 0.354263; 0.355699; 0.358259; 0.359123; 0.359734; 0.359641; 0.358149; 0.356885; 0.357381; 0.356566; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
16.2; 08:02:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330238; 0.330978; 0.332208; 0.333224; 0.334772; 0.335355; 0.335561; 0.337384; 0.340082; 0.341748; 0.341710; 0.339622; 0.335839; 0.333466; 0.333302; 0.333199; 0.332126; 0.330869; 0.331310; 0.332410; 0.333099; 0.332648; 0.332469; 0.331467; 0.330962; 0.333948; 0.337348; 0.341437; 0.345182; 0.348786; 0.352470; 0.353307; 0.354245; 0.353522; 0.353142; 0.353669; 0.353995; 0.352212; 0.350732; 0.349260; 0.347734; 0.346026; 0.342285; 0.341376; 0.340405; 0.338892; 0.339371; 0.340028; 0.339904; 0.338779; 0.338716; 0.340489; 0.341336; 0.343754; 0.345878; 0.347712; 0.349800; 0.352283; 0.351833; 0.352959; 0.355302; 0.356355; 0.356565; 0.357318; 0.359149; 0.359151; 0.359694; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
17.2; 08:02:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.333659; 0.331499; 0.332242; 0.331895; 0.331325; 0.332215; 0.333548; 0.335357; 0.336565; 0.337996; 0.339335; 0.339496; 0.337042; 0.334029; 0.332384; 0.333783; 0.333047; 0.333131; 0.335845; 0.338425; 0.339503; 0.340352; 0.340768; 0.339650; 0.340333; 0.342989; 0.348590; 0.353557; 0.358151; 0.361327; 0.363472; 0.365727; 0.364241; 0.362816; 0.361384; 0.359980; 0.359402; 0.359549; 0.358749; 0.355306; 0.351745; 0.348456; 0.344225; 0.338337; 0.336722; 0.336634; 0.337095; 0.339210; 0.340356; 0.340713; 0.339940; 0.338640; 0.337649; 0.336707; 0.338550; 0.341253; 0.344070; 0.348197; 0.351533; 0.351494; 0.351856; 0.351827; 0.351206; 0.350154; 0.350544; 0.352203; 0.354084; 0.355788; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
18.2; 08:02:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.335278; 0.333661; 0.331812; 0.331606; 0.331832; 0.331852; 0.331569; 0.331948; 0.334981; 0.337952; 0.340080; 0.340586; 0.338090; 0.335573; 0.334896; 0.334822; 0.334825; 0.335796; 0.336102; 0.338860; 0.341730; 0.343077; 0.343752; 0.344445; 0.342200; 0.341413; 0.343089; 0.346109; 0.349206; 0.352171; 0.356476; 0.358461; 0.358911; 0.359386; 0.357632; 0.356989; 0.357287; 0.356978; 0.353967; 0.353239; 0.351782; 0.350086; 0.348174; 0.345575; 0.345079; 0.343089; 0.342322; 0.342953; 0.343861; 0.344165; 0.343546; 0.343683; 0.344830; 0.346821; 0.349843; 0.352042; 0.352629; 0.353690; 0.355964; 0.354768; 0.355632; 0.357103; 0.357741; 0.357699; 0.358031; 0.358557; 0.358768; 0.358300; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
19.1; 08:02:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.339664; 0.337941; 0.337339; 0.337946; 0.339277; 0.340120; 0.339748; 0.340151; 0.340298; 0.341241; 0.342308; 0.342714; 0.340617; 0.337004; 0.334965; 0.333771; 0.332878; 0.332405; 0.331224; 0.332229; 0.334361; 0.335076; 0.334131; 0.333432; 0.331331; 0.331874; 0.334353; 0.337022; 0.340294; 0.346095; 0.351565; 0.354084; 0.354162; 0.354316; 0.351843; 0.350471; 0.350569; 0.351008; 0.349459; 0.350215; 0.349131; 0.347296; 0.345361; 0.342425; 0.339434; 0.336220; 0.335838; 0.337181; 0.338805; 0.340971; 0.341806; 0.341792; 0.342128; 0.343115; 0.343781; 0.344763; 0.347056; 0.350010; 0.352395; 0.352897; 0.354881; 0.356111; 0.356125; 0.355216; 0.353623; 0.353631; 0.354150; 0.354539; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
