Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:48:14
File Name; D:\Mahlo\TR\171120074814FP 4577_360 GSM3_THICKNESS2.txt

38167.4; 07:48:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.102323; 0.101760; 0.101860; 0.102102; 0.102058; 0.101972; 0.101530; 0.101434; 0.101689; 0.101105; 0.100279; 0.099853; 0.099813; 0.099695; (); (); (); (); (); (); (); (); (); (); 0.085212; 0.085212; 0.085212; (); (); (); (); (); (); 
38169.8; 07:48:38; (); (); (); (); 0.047567; 0.048754; 0.049377; 0.049539; 0.049988; 0.050341; 0.050633; 0.051456; 0.052282; 0.053229; 0.054273; 0.054936; 0.055082; 0.054739; 0.053862; 0.053085; 0.052556; 0.052032; 0.052595; 0.054194; 0.055828; 0.056944; 0.057430; 0.057248; 0.056904; 0.056610; 0.056843; 0.057486; 0.059171; 0.061975; 0.064341; 0.066048; 0.067317; 0.067676; 0.066989; 0.066372; 0.066080; 0.066882; 0.067959; 0.069468; 0.071761; 0.072566; 0.071858; 0.071559; 0.070669; 0.068611; 0.067190; 0.066958; 0.065732; 0.063751; 0.062667; 0.061529; 0.059778; 0.058610; 0.058171; 0.056144; 0.055805; 0.056802; 0.056702; 0.056182; 0.058304; 0.060365; 0.060858; 0.061658; 0.063060; 0.064142; 0.065451; 0.066985; 0.067846; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38171.6; 07:48:46; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.059512; 0.060592; 0.061906; 0.061811; 0.066671; 0.084332; 0.099887; 0.116090; 0.135447; 0.152342; 0.171848; 0.192971; 0.213811; 0.234328; 0.250687; 0.266751; 0.281673; 0.298163; 0.320543; 0.336111; 0.336679; 0.337792; 0.337677; 0.336641; 0.335873; 0.334713; 0.331990; 0.329784; 0.331438; 0.333108; 0.334810; 0.336316; 0.335280; 0.332151; 0.331404; 0.332398; 0.333004; 0.335760; 0.341612; 0.345678; 0.348467; 0.350988; 0.354802; 0.355328; 0.355321; 0.357338; 0.358836; 0.358814; 0.358894; 0.359967; 0.361270; 0.361483; 0.358115; 0.352852; 0.349590; 0.348128; 0.346442; 0.344560; 0.343729; 0.344182; 0.342168; 0.343543; 0.346128; 0.347238; 0.347487; 0.348597; 0.348826; 0.348962; 0.350499; 0.352483; 0.353708; 0.355184; 0.355735; 0.355304; 0.355069; 0.355885; 0.355117; 0.354221; 0.354414; 0.354586; 0.352596; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38173.0; 07:48:51; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.344381; 0.345603; 0.347446; 0.347463; 0.348374; 0.349207; 0.348727; 0.347521; 0.346803; 0.347837; 0.348507; 0.347114; 0.344160; 0.343396; 0.341964; 0.338491; 0.333968; 0.329988; 0.329146; 0.328225; 0.327695; 0.328254; 0.329518; 0.329979; 0.329489; 0.329901; 0.330719; 0.331807; 0.334798; 0.339670; 0.345849; 0.350446; 0.354376; 0.356952; 0.356774; 0.356603; 0.356080; 0.354716; 0.351796; 0.351480; 0.352068; 0.353343; 0.353258; 0.351352; 0.349663; 0.346499; 0.343540; 0.341486; 0.340773; 0.342315; 0.342442; 0.343225; 0.345920; 0.350364; 0.352476; 0.353747; 0.354630; 0.355239; 0.355487; 0.356041; 0.356652; 0.357718; 0.358732; 0.358787; 0.358380; 0.359907; 0.359979; 0.357833; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38174.0; 07:48:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.332259; 0.332773; 0.334298; 0.335007; 0.333217; 0.334389; 0.334235; 0.334621; 0.337135; 0.339716; 0.339638; 0.337574; 0.333303; 0.330318; 0.329411; 0.327383; 0.326046; 0.323379; 0.323733; 0.325809; 0.327415; 0.329989; 0.332130; 0.332942; 0.333083; 0.335433; 0.340375; 0.345856; 0.350831; 0.356322; 0.360525; 0.363506; 0.366217; 0.368121; 0.368236; 0.367983; 0.367211; 0.364389; 0.361748; 0.360159; 0.358328; 0.356217; 0.354126; 0.351261; 0.349725; 0.348928; 0.348210; 0.348553; 0.348028; 0.348756; 0.348683; 0.348705; 0.352202; 0.353484; 0.356361; 0.359261; 0.359571; 0.360356; 0.361154; 0.361437; 0.362136; 0.362989; 0.363592; 0.364355; 0.362887; 0.363601; 0.362122; 0.361898; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38175.0; 07:49:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.336724; 0.337885; 0.339221; 0.340272; 0.341012; 0.341058; 0.340375; 0.340132; 0.340925; 0.341345; 0.341072; 0.339631; 0.336533; 0.336670; 0.335496; 0.331765; 0.329464; 0.327559; 0.325129; 0.325013; 0.326219; 0.327375; 0.328740; 0.328872; 0.329461; 0.331059; 0.333841; 0.336794; 0.339413; 0.345062; 0.351295; 0.355854; 0.359087; 0.361899; 0.361690; 0.361201; 0.360038; 0.357260; 0.356501; 0.356292; 0.355703; 0.355457; 0.355232; 0.351686; 0.346648; 0.343366; 0.341899; 0.340796; 0.340554; 0.342597; 0.344125; 0.347940; 0.351786; 0.352403; 0.352826; 0.352202; 0.351557; 0.351128; 0.352396; 0.355151; 0.356794; 0.357539; 0.358478; 0.358492; 0.356094; 0.354964; 0.350354; 0.347478; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38176.0; 07:49:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.339276; 0.337832; 0.335067; 0.333435; 0.333648; 0.334690; 0.334080; 0.335569; 0.337098; 0.336880; 0.336096; 0.335063; 0.331461; 0.329996; 0.328948; 0.327788; 0.327209; 0.326459; 0.325994; 0.326107; 0.327415; 0.329085; 0.330254; 0.329883; 0.330171; 0.332604; 0.335990; 0.339938; 0.343552; 0.347979; 0.352129; 0.355572; 0.358655; 0.360956; 0.362204; 0.362912; 0.362357; 0.359680; 0.359369; 0.357928; 0.354979; 0.353361; 0.352422; 0.349416; 0.348279; 0.347769; 0.347026; 0.346393; 0.345927; 0.345596; 0.344551; 0.346125; 0.350308; 0.350238; 0.352846; 0.354026; 0.353774; 0.354015; 0.355997; 0.356282; 0.357554; 0.359107; 0.360187; 0.360795; 0.360419; 0.361013; 0.356903; 0.357389; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38177.0; 07:49:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.347899; 0.344857; 0.342001; 0.341956; 0.341636; 0.339854; 0.338627; 0.338572; 0.337135; 0.338416; 0.337671; 0.335491; 0.333594; 0.331659; 0.329725; 0.328053; 0.327644; 0.327132; 0.324972; 0.326895; 0.330964; 0.333569; 0.335343; 0.339473; 0.337570; 0.338792; 0.341397; 0.343759; 0.346060; 0.350163; 0.353875; 0.357323; 0.360395; 0.362078; 0.360838; 0.359456; 0.358115; 0.355932; 0.352886; 0.351473; 0.351098; 0.350204; 0.349140; 0.348051; 0.347553; 0.346852; 0.345728; 0.345536; 0.345613; 0.345135; 0.345138; 0.346678; 0.347763; 0.348843; 0.350767; 0.350065; 0.349695; 0.350730; 0.352491; 0.353916; 0.354688; 0.355104; 0.355397; 0.355692; 0.356509; 0.357020; 0.356064; 0.355779; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38177.9; 07:49:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.336080; 0.335173; 0.332699; 0.333920; 0.334588; 0.334402; 0.334286; 0.334765; 0.336351; 0.339012; 0.340818; 0.341115; 0.338932; 0.337290; 0.337435; 0.337000; 0.335945; 0.336150; 0.334907; 0.335789; 0.337819; 0.339314; 0.339899; 0.340270; 0.337679; 0.336618; 0.338283; 0.342370; 0.346536; 0.349510; 0.353535; 0.357918; 0.359110; 0.358900; 0.358235; 0.358648; 0.358433; 0.357421; 0.355537; 0.355832; 0.355089; 0.352724; 0.349570; 0.345952; 0.343218; 0.341153; 0.339640; 0.340484; 0.341733; 0.341041; 0.340334; 0.340253; 0.341226; 0.343191; 0.344630; 0.346121; 0.349087; 0.352150; 0.353950; 0.355290; 0.357519; 0.359962; 0.360786; 0.361488; 0.363116; 0.364200; 0.366366; 0.366361; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38178.9; 07:49:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.329632; 0.328631; 0.329745; 0.332541; 0.333114; 0.334357; 0.335655; 0.337242; 0.340005; 0.342820; 0.343669; 0.342800; 0.341451; 0.340333; 0.339590; 0.339492; 0.337850; 0.334727; 0.332684; 0.334908; 0.335310; 0.334189; 0.334366; 0.334698; 0.334937; 0.338378; 0.343410; 0.344877; 0.345874; 0.348227; 0.350148; 0.352943; 0.355755; 0.356555; 0.356216; 0.356798; 0.358036; 0.357016; 0.354793; 0.352239; 0.349357; 0.346497; 0.345577; 0.345044; 0.344664; 0.345858; 0.347626; 0.347689; 0.346297; 0.344928; 0.343811; 0.342744; 0.343105; 0.343592; 0.344956; 0.347943; 0.351134; 0.352199; 0.353179; 0.354061; 0.353720; 0.353076; 0.354270; 0.355076; 0.356182; 0.358112; 0.360303; 0.360737; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
