Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_XMF2.txt

10.4; 08:01:58; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.400610; 0.404294; 0.409173; 0.413985; 0.417288; 0.421001; 0.424143; 0.426656; 0.430748; 0.436206; 0.440270; 0.442719; 0.446044; 0.448757; 0.450002; 0.450312; 0.449854; 0.449260; 0.448237; 0.448312; 0.448405; 0.448382; 0.448673; 0.449388; 0.450706; 0.452195; 0.454903; 0.458333; 0.461849; 0.465318; 0.468234; 0.470736; 0.473196; 0.475090; 0.476176; 0.477049; 0.477932; 0.478657; 0.479069; 0.479200; 0.478975; 0.478624; 0.478006; 0.477256; 0.476926; 0.477190; 0.477701; 0.478430; 0.479077; 0.479707; 0.480401; 0.481107; 0.481497; 0.481516; 0.481070; 0.480170; 0.479123; 0.478458; 0.477704; 0.476391; 0.473518; 0.469873; 0.468818; 0.467615; 0.466293; 0.464584; 0.461729; 0.459012; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11.4; 08:02:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.400610; 0.428565; 0.434458; 0.437848; 0.440146; 0.442134; 0.444064; 0.446072; 0.450125; 0.453045; 0.455409; 0.458044; 0.459656; 0.460159; 0.459856; 0.458796; 0.457424; 0.456223; 0.456001; 0.456181; 0.456150; 0.456086; 0.456151; 0.456630; 0.457605; 0.459293; 0.462292; 0.466091; 0.469479; 0.472563; 0.475215; 0.476847; 0.477832; 0.477706; 0.477481; 0.477453; 0.477394; 0.477144; 0.476301; 0.475268; 0.473937; 0.472251; 0.470903; 0.470052; 0.469832; 0.469916; 0.470866; 0.471718; 0.472828; 0.473844; 0.475396; 0.476963; 0.478206; 0.479627; 0.480018; 0.480649; 0.480986; 0.480541; 0.480582; 0.476868; 0.473427; 0.472870; 0.472363; 0.471510; 0.469916; 0.468427; 0.465569; 0.463892; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
12.3; 08:02:08; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.395004; 0.398763; 0.403764; 0.408750; 0.411858; 0.415074; 0.417778; 0.420646; 0.425107; 0.429473; 0.432864; 0.435846; 0.439074; 0.441236; 0.443321; 0.443783; 0.442971; 0.442646; 0.441618; 0.441757; 0.441873; 0.442233; 0.442266; 0.442881; 0.443850; 0.445261; 0.447875; 0.451364; 0.455345; 0.458754; 0.462015; 0.464848; 0.466615; 0.468292; 0.469473; 0.470263; 0.471034; 0.471991; 0.472517; 0.472612; 0.472342; 0.471908; 0.471215; 0.470618; 0.470370; 0.470578; 0.471085; 0.471690; 0.472272; 0.472825; 0.473513; 0.474189; 0.474620; 0.474628; 0.474052; 0.473262; 0.472587; 0.471862; 0.470732; 0.469476; 0.466291; 0.464312; 0.463495; 0.462463; 0.461288; 0.459792; 0.457011; 0.454738; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
13.3; 08:02:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.414659; 0.419002; 0.424789; 0.428177; 0.430439; 0.432556; 0.434395; 0.437950; 0.442569; 0.445752; 0.447839; 0.450012; 0.451753; 0.452637; 0.452309; 0.451411; 0.450107; 0.449005; 0.448787; 0.449213; 0.449280; 0.449352; 0.449430; 0.449970; 0.451005; 0.452701; 0.455664; 0.459019; 0.461965; 0.465561; 0.468373; 0.470037; 0.470944; 0.470790; 0.470454; 0.470451; 0.470312; 0.470131; 0.469504; 0.468361; 0.467091; 0.465844; 0.464304; 0.463185; 0.462879; 0.462935; 0.463648; 0.464275; 0.465314; 0.466758; 0.467862; 0.469656; 0.470870; 0.472218; 0.472744; 0.472886; 0.473370; 0.473261; 0.473430; 0.469851; 0.467924; 0.467780; 0.467559; 0.466958; 0.465492; 0.464236; 0.461750; 0.460658; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
14.3; 08:02:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.389178; 0.394133; 0.399071; 0.404538; 0.408557; 0.411704; 0.415050; 0.418160; 0.424343; 0.428790; 0.433195; 0.435616; 0.438715; 0.441660; 0.443002; 0.443572; 0.442785; 0.442488; 0.441408; 0.440990; 0.441259; 0.441236; 0.441553; 0.442069; 0.443289; 0.444767; 0.447013; 0.450056; 0.453880; 0.457921; 0.461337; 0.464251; 0.466096; 0.467647; 0.469071; 0.470203; 0.471152; 0.472192; 0.472895; 0.472974; 0.472824; 0.472449; 0.471750; 0.471132; 0.470952; 0.471243; 0.471785; 0.472477; 0.473012; 0.473563; 0.474250; 0.474934; 0.475318; 0.475279; 0.474935; 0.474177; 0.473468; 0.472913; 0.471994; 0.470406; 0.466991; 0.464494; 0.463490; 0.462188; 0.460898; 0.459258; 0.456621; 0.454288; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15.2; 08:02:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.389178; 0.420691; 0.426465; 0.430259; 0.432985; 0.435365; 0.437274; 0.439158; 0.443452; 0.446502; 0.449170; 0.451419; 0.453077; 0.454047; 0.454018; 0.452962; 0.451564; 0.450338; 0.449902; 0.450254; 0.450334; 0.450299; 0.450431; 0.450851; 0.451605; 0.453163; 0.456209; 0.460127; 0.463442; 0.466566; 0.469432; 0.471293; 0.472178; 0.472038; 0.471707; 0.471643; 0.471513; 0.471304; 0.470576; 0.469667; 0.468249; 0.466619; 0.465119; 0.464077; 0.463546; 0.463407; 0.464059; 0.464436; 0.465586; 0.466609; 0.467618; 0.469193; 0.469917; 0.471197; 0.471568; 0.471733; 0.471819; 0.471297; 0.471062; 0.467191; 0.463673; 0.463183; 0.462602; 0.461828; 0.460272; 0.458477; 0.455615; 0.453849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
16.2; 08:02:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.396398; 0.402098; 0.407415; 0.410859; 0.414871; 0.417528; 0.420061; 0.423268; 0.427630; 0.432077; 0.435534; 0.439282; 0.441930; 0.443877; 0.444447; 0.444061; 0.443410; 0.442149; 0.442290; 0.442081; 0.442357; 0.442685; 0.443232; 0.444592; 0.446251; 0.448547; 0.451411; 0.455312; 0.458521; 0.461406; 0.464371; 0.466763; 0.468615; 0.469711; 0.470547; 0.471333; 0.472168; 0.472784; 0.472809; 0.472522; 0.472135; 0.471526; 0.470972; 0.470902; 0.471131; 0.471700; 0.472438; 0.473099; 0.473515; 0.474272; 0.475259; 0.475643; 0.475561; 0.475157; 0.474695; 0.474109; 0.473558; 0.473023; 0.471807; 0.468477; 0.464581; 0.463732; 0.462605; 0.461276; 0.459299; 0.456527; 0.453965; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
17.2; 08:02:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.416761; 0.421922; 0.427630; 0.431181; 0.433677; 0.435884; 0.438202; 0.442421; 0.446982; 0.450474; 0.452980; 0.455368; 0.457074; 0.457908; 0.457720; 0.456754; 0.455250; 0.454185; 0.453928; 0.454317; 0.454424; 0.454443; 0.454687; 0.455281; 0.456390; 0.457949; 0.460635; 0.464389; 0.467830; 0.470990; 0.473896; 0.475635; 0.476445; 0.476326; 0.475889; 0.475743; 0.475599; 0.475351; 0.474658; 0.473368; 0.472046; 0.470486; 0.468978; 0.468078; 0.467718; 0.468024; 0.468954; 0.469592; 0.470949; 0.472159; 0.473516; 0.474803; 0.476143; 0.477369; 0.477910; 0.478808; 0.479239; 0.479462; 0.479532; 0.476228; 0.471021; 0.470026; 0.469641; 0.468554; 0.467351; 0.465554; 0.462864; 0.460563; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
18.2; 08:02:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.395094; 0.399650; 0.404261; 0.409737; 0.413476; 0.416770; 0.419690; 0.422671; 0.429210; 0.433800; 0.437486; 0.440203; 0.443408; 0.446203; 0.447305; 0.447807; 0.447254; 0.446439; 0.445452; 0.445156; 0.445358; 0.445308; 0.445915; 0.446708; 0.448132; 0.449778; 0.452468; 0.456094; 0.459724; 0.463181; 0.466519; 0.469005; 0.471159; 0.472980; 0.474225; 0.475168; 0.475937; 0.476706; 0.477287; 0.477299; 0.476952; 0.476508; 0.475817; 0.475166; 0.474867; 0.475005; 0.475647; 0.476260; 0.476797; 0.477340; 0.478063; 0.478946; 0.479425; 0.479503; 0.479015; 0.478271; 0.477488; 0.476785; 0.475970; 0.474589; 0.471938; 0.469209; 0.468231; 0.467121; 0.465748; 0.463860; 0.461187; 0.458825; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
19.1; 08:02:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.417519; 0.422126; 0.427776; 0.431022; 0.433536; 0.436210; 0.438457; 0.441361; 0.445873; 0.449338; 0.451537; 0.453788; 0.455597; 0.456858; 0.457010; 0.455968; 0.454427; 0.453468; 0.453049; 0.453315; 0.453217; 0.453287; 0.453381; 0.453893; 0.454801; 0.456794; 0.459379; 0.462345; 0.465701; 0.469169; 0.471952; 0.473900; 0.474765; 0.474840; 0.474512; 0.474496; 0.474524; 0.474360; 0.473643; 0.472671; 0.470901; 0.469635; 0.468130; 0.467335; 0.466885; 0.467099; 0.467708; 0.468300; 0.469573; 0.471063; 0.472018; 0.473348; 0.474412; 0.475731; 0.475706; 0.476343; 0.476326; 0.476100; 0.475851; 0.472861; 0.469873; 0.468973; 0.468460; 0.467445; 0.465539; 0.464543; 0.461852; 0.459866; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
